a	b	J9	J8	J7	pi_HAT	nbSNP	cov	deamination	kinship	degree	program	RMSE
childB	founder27	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childB	founder28	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childB	founder29	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childB	founder2	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childB	founder3	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childB	founder4	0.999	0.001	0.0	0.0	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childB	founder5	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childB	founder6	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childB	founder7	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childB	founder8	0.999	0.001	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childB	founder9	0.999	0.001	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childC	childH	0.956	0.044	0.0	0.022	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5525311454268136
childC	childI	0.997	0.003	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5756208242700513
childC	founder0	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childC	founder10	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder11	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder12	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder13	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder14	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder15	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder16	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder17	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder18	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder19	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder20	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder21	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder22	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder23	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder24	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder25	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder26	0.998	0.002	0.0	0.001	99995	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder27	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder28	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder29	0.998	0.002	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder3	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
childC	founder4	0.999	0.001	0.0	0.001	99997	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5767732078844625
childC	founder5	0.998	0.002	0.0	0.001	99996	8	no_deam	Unrelated	Unrelated	lcmlkin	0.5761967256646524
