a	b	J9	J8	J7	pi_HAT	nbSNP	cov	deamination	kinship	degree	program	RMSE
childF	founder4	0.001	0.998	0.001	0.5	99997	20	no_deam	PO	1	lcmlkin	0.001414213562373096
childG	founder5	0.0	0.998	0.002	0.501	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
childA	childD	0.129	0.87	0.001	0.436	93159	2	no_deam	PO	1	lcmlkin	0.10573867157604482
childA	childH	0.022	0.926	0.051	0.515	93220	2	no_deam	PO	1	lcmlkin	0.05341972170150893
childA	founder0	0.089	0.91	0.001	0.456	93291	2	no_deam	PO	1	lcmlkin	0.07307986498801612
childA	founder1	0.116	0.883	0.001	0.442	93147	2	no_deam	PO	1	lcmlkin	0.09512447984965104
childB	childE	0.148	0.851	0.001	0.426	93124	2	no_deam	PO	1	lcmlkin	0.12125180411028944
childB	childF	0.131	0.868	0.001	0.435	93079	2	no_deam	PO	1	lcmlkin	0.10737162877905256
childB	founder0	0.106	0.893	0.001	0.447	93259	2	no_deam	PO	1	lcmlkin	0.08695976080923866
childB	founder1	0.129	0.87	0.001	0.436	93143	2	no_deam	PO	1	lcmlkin	0.10573867157604482
childC	childG	0.076	0.923	0.001	0.463	93339	2	no_deam	PO	1	lcmlkin	0.06246599074696564
childC	founder1	0.091	0.908	0.001	0.455	93216	2	no_deam	PO	1	lcmlkin	0.07471278337741138
childC	founder2	0.05	0.948	0.001	0.475	93341	2	no_deam	PO	1	lcmlkin	0.041653331199317085
childD	founder3	0.043	0.956	0.001	0.479	93277	2	no_deam	PO	1	lcmlkin	0.035524639336663236
childE	founder4	0.079	0.92	0.001	0.461	93119	2	no_deam	PO	1	lcmlkin	0.06491532946846991
childF	founder4	0.075	0.924	0.001	0.463	93100	2	no_deam	PO	1	lcmlkin	0.06164954717324909
childG	founder5	0.034	0.965	0.001	0.484	93290	2	no_deam	PO	1	lcmlkin	0.028178005607210756
childA	childD	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childA	childH	0.0	0.95	0.05	0.525	99997	10	no_deam	PO	1	lcmlkin	0.04082482904638632
childA	founder0	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childA	founder1	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childB	childE	0.003	0.997	0.0	0.498	99997	10	no_deam	PO	1	lcmlkin	0.002449489742783179
childB	childF	0.003	0.997	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.002449489742783179
childB	founder0	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childB	founder1	0.002	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childC	childG	0.001	0.998	0.001	0.5	99997	10	no_deam	PO	1	lcmlkin	0.001414213562373096
childC	founder1	0.001	0.998	0.0	0.499	99997	10	no_deam	PO	1	lcmlkin	0.0012909944487358065
childC	founder2	0.0	0.998	0.001	0.5	99997	10	no_deam	PO	1	lcmlkin	0.0012909944487358065
childD	founder3	0.0	0.998	0.002	0.501	99997	10	no_deam	PO	1	lcmlkin	0.001632993161855453
childE	founder4	0.001	0.998	0.001	0.5	99997	10	no_deam	PO	1	lcmlkin	0.001414213562373096
childF	founder4	0.001	0.998	0.001	0.5	99997	10	no_deam	PO	1	lcmlkin	0.001414213562373096
childG	founder5	0.001	0.997	0.002	0.501	99997	10	no_deam	PO	1	lcmlkin	0.002160246899469288
childA	childD	0.002	0.998	0.0	0.499	99997	8	deam	PO	1	lcmlkin	0.001632993161855453
childA	childH	0.0	0.95	0.05	0.525	99998	8	deam	PO	1	lcmlkin	0.04082482904638632
childA	founder0	0.001	0.998	0.001	0.5	99998	8	deam	PO	1	lcmlkin	0.001414213562373096
childA	founder1	0.002	0.998	0.0	0.499	99998	8	deam	PO	1	lcmlkin	0.001632993161855453
childB	childE	0.002	0.998	0.0	0.499	99996	8	deam	PO	1	lcmlkin	0.001632993161855453
childB	childF	0.002	0.998	0.0	0.499	99997	8	deam	PO	1	lcmlkin	0.001632993161855453
childB	founder0	0.001	0.998	0.0	0.5	99997	8	deam	PO	1	lcmlkin	0.0012909944487358065
childB	founder1	0.002	0.998	0.0	0.499	99997	8	deam	PO	1	lcmlkin	0.001632993161855453
childC	childG	0.001	0.998	0.001	0.5	99998	8	deam	PO	1	lcmlkin	0.001414213562373096
childC	founder1	0.001	0.998	0.001	0.5	99998	8	deam	PO	1	lcmlkin	0.001414213562373096
childC	founder2	0.0	0.998	0.001	0.5	99998	8	deam	PO	1	lcmlkin	0.0012909944487358065
childD	founder3	0.0	0.998	0.002	0.501	99997	8	deam	PO	1	lcmlkin	0.001632993161855453
childE	founder4	0.001	0.998	0.001	0.5	99994	8	deam	PO	1	lcmlkin	0.001414213562373096
childF	founder4	0.001	0.998	0.001	0.5	99995	8	deam	PO	1	lcmlkin	0.001414213562373096
childG	founder5	0.0	0.997	0.002	0.501	99998	8	deam	PO	1	lcmlkin	0.002081665999466134
childA	childD	0.006	0.994	0.0	0.497	99996	4	deam	PO	1	lcmlkin	0.004898979485566358
childA	childH	0.001	0.951	0.049	0.524	99995	4	deam	PO	1	lcmlkin	0.040012498047485134
childA	founder0	0.006	0.993	0.0	0.497	99997	4	deam	PO	1	lcmlkin	0.005322906474223774
childA	founder1	0.005	0.995	0.0	0.498	99996	4	deam	PO	1	lcmlkin	0.004082482904638632
childB	childE	0.008	0.992	0.0	0.496	99995	4	deam	PO	1	lcmlkin	0.006531972647421812
childB	childF	0.009	0.991	0.0	0.495	99993	4	deam	PO	1	lcmlkin	0.007348469228349537
childB	founder0	0.007	0.993	0.0	0.497	99997	4	deam	PO	1	lcmlkin	0.005715476066494085
childB	founder1	0.007	0.993	0.0	0.496	99996	4	deam	PO	1	lcmlkin	0.005715476066494085
childC	childG	0.003	0.996	0.001	0.499	99995	4	deam	PO	1	lcmlkin	0.0029439202887759507
childC	founder1	0.003	0.997	0.0	0.499	99995	4	deam	PO	1	lcmlkin	0.002449489742783179
childC	founder2	0.002	0.997	0.001	0.5	99996	4	deam	PO	1	lcmlkin	0.002160246899469288
childD	founder3	0.002	0.997	0.001	0.5	99995	4	deam	PO	1	lcmlkin	0.002160246899469288
childE	founder4	0.003	0.997	0.0	0.499	99995	4	deam	PO	1	lcmlkin	0.002449489742783179
childF	founder4	0.004	0.996	0.0	0.498	99993	4	deam	PO	1	lcmlkin	0.003265986323710906
childG	founder5	0.001	0.997	0.002	0.501	99994	4	deam	PO	1	lcmlkin	0.002160246899469288
childA	childD	0.151	0.848	0.001	0.425	90712	1	deam	PO	1	lcmlkin	0.1237012530251816
childA	childH	0.034	0.919	0.048	0.507	90774	1	deam	PO	1	lcmlkin	0.05779561690416784
childA	founder0	0.111	0.888	0.001	0.445	90728	1	deam	PO	1	lcmlkin	0.09104211479676132
childA	founder1	0.152	0.847	0.001	0.425	90638	1	deam	PO	1	lcmlkin	0.12451773635376877
childB	childE	0.171	0.828	0.0	0.414	90713	1	deam	PO	1	lcmlkin	0.1400297587419665
childB	childF	0.17	0.829	0.001	0.416	90701	1	deam	PO	1	lcmlkin	0.13921446285018907
childB	founder0	0.137	0.862	0.001	0.432	90784	1	deam	PO	1	lcmlkin	0.1122705066643358
childB	founder1	0.144	0.855	0.001	0.429	90697	1	deam	PO	1	lcmlkin	0.11798587486079284
childC	childG	0.081	0.917	0.002	0.46	90627	1	deam	PO	1	lcmlkin	0.06696765388354788
childC	founder1	0.115	0.883	0.001	0.443	90679	1	deam	PO	1	lcmlkin	0.09471888231322553
childC	founder2	0.075	0.924	0.001	0.463	90771	1	deam	PO	1	lcmlkin	0.06164954717324909
childD	founder3	0.058	0.94	0.002	0.472	90642	1	deam	PO	1	lcmlkin	0.048194052191807536
childE	founder4	0.098	0.901	0.001	0.452	90575	1	deam	PO	1	lcmlkin	0.0804280216508318
childF	founder4	0.087	0.912	0.001	0.457	90547	1	deam	PO	1	lcmlkin	0.0714469500165449
childG	founder5	0.055	0.943	0.002	0.474	90607	1	deam	PO	1	lcmlkin	0.04574567374808976
childA	childD	0.001	0.998	0.0	0.499	99997	20	deam	PO	1	lcmlkin	0.0012909944487358065
childA	childH	0.0	0.95	0.05	0.525	99997	20	deam	PO	1	lcmlkin	0.04082482904638632
childA	founder0	0.001	0.998	0.0	0.5	99997	20	deam	PO	1	lcmlkin	0.0012909944487358065
childA	founder1	0.001	0.998	0.0	0.499	99997	20	deam	PO	1	lcmlkin	0.0012909944487358065
childB	childE	0.002	0.998	0.0	0.499	99997	20	deam	PO	1	lcmlkin	0.001632993161855453
childB	childF	0.002	0.998	0.0	0.499	99997	20	deam	PO	1	lcmlkin	0.001632993161855453
childB	founder0	0.001	0.998	0.0	0.5	99997	20	deam	PO	1	lcmlkin	0.0012909944487358065
childB	founder1	0.002	0.998	0.0	0.499	99997	20	deam	PO	1	lcmlkin	0.001632993161855453
childC	childG	0.001	0.998	0.001	0.5	99997	20	deam	PO	1	lcmlkin	0.001414213562373096
childC	founder1	0.001	0.998	0.001	0.5	99997	20	deam	PO	1	lcmlkin	0.001414213562373096
childC	founder2	0.0	0.998	0.002	0.501	99997	20	deam	PO	1	lcmlkin	0.001632993161855453
childD	founder3	0.0	0.998	0.002	0.501	99996	20	deam	PO	1	lcmlkin	0.001632993161855453
childE	founder4	0.001	0.998	0.001	0.5	99997	20	deam	PO	1	lcmlkin	0.001414213562373096
childF	founder4	0.001	0.998	0.001	0.5	99997	20	deam	PO	1	lcmlkin	0.001414213562373096
childG	founder5	0.0	0.997	0.002	0.501	99997	20	deam	PO	1	lcmlkin	0.002081665999466134
childA	childD	0.049	0.951	0.0	0.476	99336	2	deam	PO	1	lcmlkin	0.04000833246545859
childA	childH	0.005	0.95	0.045	0.52	99339	2	deam	PO	1	lcmlkin	0.03894440481849309
childA	founder0	0.033	0.967	0.0	0.483	99288	2	deam	PO	1	lcmlkin	0.02694438717061497
childA	founder1	0.048	0.952	0.0	0.476	99332	2	deam	PO	1	lcmlkin	0.039191835884530866
childB	childE	0.066	0.934	0.0	0.467	99369	2	deam	PO	1	lcmlkin	0.0538887743412299
childB	childF	0.056	0.944	0.0	0.472	99359	2	deam	PO	1	lcmlkin	0.04572380853195268
childB	founder0	0.033	0.967	0.0	0.484	99289	2	deam	PO	1	lcmlkin	0.02694438717061497
childB	founder1	0.056	0.944	0.0	0.472	99337	2	deam	PO	1	lcmlkin	0.04572380853195268
childC	childG	0.02	0.98	0.0	0.49	99403	2	deam	PO	1	lcmlkin	0.01632993161855453
childC	founder1	0.037	0.962	0.0	0.481	99362	2	deam	PO	1	lcmlkin	0.03062134331910779
childC	founder2	0.012	0.988	0.0	0.494	99384	2	deam	PO	1	lcmlkin	0.009797958971132717
childD	founder3	0.012	0.987	0.001	0.494	99317	2	deam	PO	1	lcmlkin	0.010230672835481878
childE	founder4	0.026	0.973	0.0	0.487	99360	2	deam	PO	1	lcmlkin	0.021641010450839254
childF	founder4	0.029	0.971	0.0	0.486	99345	2	deam	PO	1	lcmlkin	0.023678400846904066
childG	founder5	0.012	0.986	0.002	0.495	99365	2	deam	PO	1	lcmlkin	0.010708252269472678
childA	childD	0.002	0.998	0.0	0.499	99996	10	deam	PO	1	lcmlkin	0.001632993161855453
childA	childH	0.0	0.95	0.05	0.525	99996	10	deam	PO	1	lcmlkin	0.04082482904638632
childA	founder0	0.001	0.998	0.0	0.5	99996	10	deam	PO	1	lcmlkin	0.0012909944487358065
childA	founder1	0.001	0.998	0.0	0.499	99996	10	deam	PO	1	lcmlkin	0.0012909944487358065
childB	childE	0.002	0.998	0.0	0.499	99997	10	deam	PO	1	lcmlkin	0.001632993161855453
childB	childF	0.002	0.998	0.0	0.499	99997	10	deam	PO	1	lcmlkin	0.001632993161855453
childB	founder0	0.001	0.998	0.0	0.5	99997	10	deam	PO	1	lcmlkin	0.0012909944487358065
childB	founder1	0.002	0.998	0.0	0.499	99997	10	deam	PO	1	lcmlkin	0.001632993161855453
childC	childG	0.001	0.998	0.001	0.5	99997	10	deam	PO	1	lcmlkin	0.001414213562373096
childC	founder1	0.001	0.998	0.001	0.5	99997	10	deam	PO	1	lcmlkin	0.001414213562373096
childC	founder2	0.0	0.998	0.002	0.501	99996	10	deam	PO	1	lcmlkin	0.001632993161855453
childD	founder3	0.0	0.998	0.002	0.501	99997	10	deam	PO	1	lcmlkin	0.001632993161855453
childE	founder4	0.001	0.998	0.001	0.5	99997	10	deam	PO	1	lcmlkin	0.001414213562373096
childF	founder4	0.001	0.998	0.001	0.5	99997	10	deam	PO	1	lcmlkin	0.001414213562373096
childG	founder5	0.0	0.997	0.003	0.501	99996	10	deam	PO	1	lcmlkin	0.002449489742783179
childA	childD	0.003	0.997	0.0	0.498	99994	8	no_deam	PO	1	lcmlkin	0.002449489742783179
childA	childH	0.001	0.949	0.05	0.525	99993	8	no_deam	PO	1	lcmlkin	0.041239139984566464
childA	founder0	0.003	0.997	0.0	0.499	99994	8	no_deam	PO	1	lcmlkin	0.002449489742783179
childA	founder1	0.004	0.995	0.0	0.498	99995	8	no_deam	PO	1	lcmlkin	0.0036968455021364746
childB	childE	0.005	0.995	0.0	0.497	99996	8	no_deam	PO	1	lcmlkin	0.004082482904638632
childB	childF	0.006	0.994	0.0	0.497	99997	8	no_deam	PO	1	lcmlkin	0.004898979485566358
childB	founder0	0.003	0.997	0.0	0.498	99996	8	no_deam	PO	1	lcmlkin	0.002449489742783179
childB	founder1	0.005	0.995	0.0	0.498	99997	8	no_deam	PO	1	lcmlkin	0.004082482904638632
childC	childG	0.002	0.997	0.001	0.499	99996	8	no_deam	PO	1	lcmlkin	0.002160246899469288
childC	founder1	0.004	0.996	0.0	0.498	99997	8	no_deam	PO	1	lcmlkin	0.003265986323710906
childC	founder2	0.001	0.997	0.001	0.5	99996	8	no_deam	PO	1	lcmlkin	0.0019148542155126777
childD	founder3	0.001	0.998	0.001	0.5	99995	8	no_deam	PO	1	lcmlkin	0.001414213562373096
childE	founder4	0.002	0.998	0.001	0.499	99995	8	no_deam	PO	1	lcmlkin	0.0017320508075688783
childF	founder4	0.002	0.997	0.001	0.499	99996	8	no_deam	PO	1	lcmlkin	0.002160246899469288
childG	founder5	0.001	0.997	0.002	0.501	99996	8	no_deam	PO	1	lcmlkin	0.002160246899469288
childA	childD	0.033	0.967	0.0	0.484	99621	4	no_deam	PO	1	lcmlkin	0.02694438717061497
childA	childH	0.004	0.95	0.046	0.521	99621	4	no_deam	PO	1	lcmlkin	0.03929376540877702
childA	founder0	0.021	0.979	0.0	0.49	99625	4	no_deam	PO	1	lcmlkin	0.017146428199482255
childA	founder1	0.032	0.968	0.0	0.484	99613	4	no_deam	PO	1	lcmlkin	0.026127890589687248
childB	childE	0.043	0.957	0.0	0.479	99658	4	no_deam	PO	1	lcmlkin	0.03510935297989223
childB	childF	0.042	0.958	0.0	0.479	99665	4	no_deam	PO	1	lcmlkin	0.03429285639896451
childB	founder0	0.022	0.978	0.0	0.489	99635	4	no_deam	PO	1	lcmlkin	0.017962924780409978
childB	founder1	0.035	0.965	0.0	0.483	99622	4	no_deam	PO	1	lcmlkin	0.028577380332470426
childC	childG	0.016	0.983	0.0	0.492	99616	4	no_deam	PO	1	lcmlkin	0.013478377746103826
childC	founder1	0.021	0.979	0.0	0.49	99604	4	no_deam	PO	1	lcmlkin	0.017146428199482255
childC	founder2	0.01	0.99	0.0	0.495	99611	4	no_deam	PO	1	lcmlkin	0.008164965809277265
childD	founder3	0.01	0.99	0.001	0.496	99646	4	no_deam	PO	1	lcmlkin	0.008185352771872455
childE	founder4	0.019	0.981	0.0	0.49	99642	4	no_deam	PO	1	lcmlkin	0.015513435037626802
childF	founder4	0.013	0.987	0.0	0.493	99647	4	no_deam	PO	1	lcmlkin	0.010614455552060443
childG	founder5	0.007	0.992	0.001	0.497	99646	4	no_deam	PO	1	lcmlkin	0.006164414002968979
childA	childD	0.23	0.764	0.006	0.388	70170	1	no_deam	PO	1	lcmlkin	0.19029100521744757
childA	childH	0.081	0.839	0.08	0.5	70144	1	no_deam	PO	1	lcmlkin	0.1138449237632784
childA	founder0	0.199	0.796	0.005	0.403	70098	1	no_deam	PO	1	lcmlkin	0.16456204503671756
childA	founder1	0.184	0.811	0.005	0.41	68079	1	no_deam	PO	1	lcmlkin	0.15231765054210447
childB	childE	0.271	0.723	0.006	0.367	70016	1	no_deam	PO	1	lcmlkin	0.22376028840405682
childB	childF	0.25	0.743	0.007	0.379	70029	1	no_deam	PO	1	lcmlkin	0.20704105872990505
childB	founder0	0.202	0.791	0.007	0.402	69914	1	no_deam	PO	1	lcmlkin	0.16786303941010955
childB	founder1	0.213	0.781	0.006	0.396	67867	1	no_deam	PO	1	lcmlkin	0.17641428513586987
childC	childG	0.148	0.844	0.008	0.43	69894	1	no_deam	PO	1	lcmlkin	0.124236333923159
childC	founder1	0.149	0.846	0.005	0.428	67840	1	no_deam	PO	1	lcmlkin	0.12374974747448983
childC	founder2	0.083	0.912	0.005	0.461	67240	1	no_deam	PO	1	lcmlkin	0.06989992846920516
childD	founder3	0.069	0.925	0.006	0.468	67609	1	no_deam	PO	1	lcmlkin	0.05894064811316548
childE	founder4	0.134	0.859	0.006	0.436	67512	1	no_deam	PO	1	lcmlkin	0.11235805860432681
childF	founder4	0.129	0.867	0.004	0.437	67578	1	no_deam	PO	1	lcmlkin	0.10699844235626361
childG	founder5	0.064	0.933	0.003	0.469	67070	1	no_deam	PO	1	lcmlkin	0.053522580904387114
childA	childD	0.002	0.998	0.0	0.499	99997	20	no_deam	PO	1	lcmlkin	0.001632993161855453
