IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childB	familyX	childI	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.751282	0.0092	1.4268	2	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.705721	0.0000	0.8091	2	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706309	0.0000	0.8091	2	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706908	0.0000	0.7456	2	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706976	0.0000	1.0306	2	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706939	0.0000	1.0306	2	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.705938	0.0000	1.1170	2	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.706028	0.0000	0.7928	2	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.705252	0.0000	0.9320	2	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.701097	0.0000	0.7768	2	no_deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.4362	0.3961	0.1677	0.3657	-1	0.789240	1.0000	4.3784	10	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5111	0.4889	0.0000	0.2445	-1	0.746030	1.0000	4.1026	10	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5192	0.4808	0.0000	0.2404	-1	0.746835	0.9993	3.4222	10	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.4998	0.5002	0.0000	0.2501	-1	0.747465	1.0000	4.6857	10	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.5019	0.4981	0.0000	0.2491	-1	0.746680	1.0000	5.0303	10	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.5029	0.4971	0.0000	0.2486	-1	0.746440	1.0000	4.8529	10	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.5025	0.4975	0.0000	0.2488	-1	0.745795	1.0000	4.5278	10	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.5062	0.4938	0.0000	0.2469	-1	0.746855	1.0000	5.4194	10	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.5167	0.4833	0.0000	0.2417	-1	0.745660	1.0000	7.6522	10	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.6801	0.2806	0.0393	0.1796	-1	0.736695	1.0000	4.3784	10	no_deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.4290	0.4093	0.1617	0.3664	-1	0.788496	0.9996	3.5227	8	deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5044	0.4956	0.0000	0.2478	-1	0.745737	1.0000	4.2368	8	deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5106	0.4894	0.0000	0.2447	-1	0.746847	0.9996	3.5227	8	deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.4903	0.5097	0.0000	0.2548	-1	0.747257	1.0000	4.3784	8	deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.4932	0.5068	0.0000	0.2534	-1	0.746622	1.0000	4.6857	8	deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.4959	0.5041	0.0000	0.2521	-1	0.746195	1.0000	4.8529	8	deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.4939	0.5061	0.0000	0.2531	-1	0.745530	1.0000	4.6857	8	deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.4967	0.5033	0.0000	0.2517	-1	0.746820	1.0000	5.2188	8	deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.5076	0.4924	0.0000	0.2462	-1	0.745265	1.0000	8.0455	8	deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.6719	0.2925	0.0356	0.1818	-1	0.736402	1.0000	4.5278	8	deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.4343	0.4119	0.1538	0.3597	-1	0.785431	1.0000	4.8529	4	deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5069	0.4931	0.0000	0.2465	-1	0.743972	1.0000	4.2368	4	deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5139	0.4861	0.0000	0.2430	-1	0.744525	1.0000	4.1026	4	deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.4938	0.5062	0.0000	0.2531	-1	0.745225	1.0000	6.1071	4	deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.4956	0.5044	0.0000	0.2522	-1	0.745267	1.0000	5.6333	4	deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.5010	0.4990	0.0000	0.2495	-1	0.744625	1.0000	4.3784	4	deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.4971	0.5029	0.0000	0.2514	-1	0.743882	1.0000	4.8529	4	deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.4982	0.5018	0.0000	0.2509	-1	0.745295	1.0000	5.2188	4	deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.5161	0.4839	0.0000	0.2420	-1	0.743652	1.0000	6.9600	4	deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.6744	0.2922	0.0334	0.1795	-1	0.734607	1.0000	4.1026	4	deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.743796	0.0000	0.8091	1	deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.698598	0.0000	0.6583	1	deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.699001	0.0000	0.8774	1	deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.700504	0.0000	0.6446	1	deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.700573	0.0000	0.8774	1	deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.699223	0.0000	0.8774	1	deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.699758	0.0000	0.6311	1	deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.701268	0.0000	0.6446	1	deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.698779	0.0000	0.9320	1	deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.694143	0.0000	0.8091	1	deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.4330	0.4007	0.1663	0.3666	-1	0.789310	1.0000	4.3784	20	deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5092	0.4908	0.0000	0.2454	-1	0.746175	1.0000	4.1026	20	deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5162	0.4838	0.0000	0.2419	-1	0.746990	0.9989	3.3261	20	deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.4963	0.5037	0.0000	0.2518	-1	0.747615	1.0000	4.3784	20	deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.4986	0.5014	0.0000	0.2507	-1	0.746900	1.0000	5.0303	20	deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.5000	0.5000	0.0000	0.2500	-1	0.746515	1.0000	4.8529	20	deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.4991	0.5009	0.0000	0.2504	-1	0.745970	1.0000	4.8529	20	deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.5028	0.4972	0.0000	0.2486	-1	0.747085	1.0000	5.4194	20	deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.5141	0.4859	0.0000	0.2429	-1	0.745855	1.0000	7.6522	20	deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.6776	0.2841	0.0383	0.1804	-1	0.736775	1.0000	4.3784	20	deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.6188	0.1853	0.1959	0.2886	-1	0.772814	0.9844	2.8269	2	deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.7459	0.2039	0.0502	0.1521	-1	0.729927	0.9399	2.5536	2	deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.7528	0.1922	0.0550	0.1511	-1	0.730086	0.5200	2.0152	2	deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.7359	0.2146	0.0495	0.1568	-1	0.730937	0.9982	3.2340	2	deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.7436	0.2040	0.0524	0.1544	-1	0.730616	0.9971	3.1458	2	deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.7365	0.2176	0.0460	0.1548	-1	0.730182	0.9894	2.9020	2	deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.7390	0.2166	0.0444	0.1527	-1	0.729592	0.9930	2.9800	2	deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.7354	0.2158	0.0488	0.1567	-1	0.730855	0.9930	2.9800	2	deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.7441	0.2094	0.0465	0.1512	-1	0.729421	0.9971	3.1458	2	deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.8959	0.0053	0.0988	0.1015	-1	0.722326	0.6372	2.1094	2	deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.4304	0.4064	0.1632	0.3664	-1	0.788770	1.0000	4.5278	10	deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5059	0.4941	0.0000	0.2471	-1	0.746105	1.0000	4.1026	10	deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5131	0.4869	0.0000	0.2435	-1	0.746655	0.9989	3.3261	10	deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.4934	0.5066	0.0000	0.2533	-1	0.747500	1.0000	4.3784	10	deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.4950	0.5050	0.0000	0.2525	-1	0.746580	1.0000	5.0303	10	deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.4967	0.5033	0.0000	0.2517	-1	0.746295	1.0000	4.8529	10	deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.4940	0.5060	0.0000	0.2530	-1	0.745715	1.0000	4.6857	10	deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.5003	0.4997	0.0000	0.2499	-1	0.746840	1.0000	5.4194	10	deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.5095	0.4905	0.0000	0.2453	-1	0.745647	1.0000	8.0455	10	deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.6723	0.2914	0.0363	0.1820	-1	0.736670	1.0000	4.2368	10	deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.4421	0.3901	0.1678	0.3629	-1	0.788599	1.0000	4.1026	8	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5214	0.4786	0.0000	0.2393	-1	0.745465	1.0000	4.1026	8	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.5281	0.4719	0.0000	0.2360	-1	0.746267	0.9989	3.3261	8	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.5066	0.4934	0.0000	0.2467	-1	0.746940	0.9999	3.8537	8	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.5096	0.4904	0.0000	0.2452	-1	0.746192	1.0000	5.4194	8	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.5131	0.4869	0.0000	0.2435	-1	0.745802	1.0000	4.8529	8	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.5106	0.4894	0.0000	0.2447	-1	0.745220	1.0000	4.2368	8	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.5137	0.4863	0.0000	0.2432	-1	0.746512	1.0000	5.4194	8	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.5240	0.4760	0.0000	0.2380	-1	0.745305	1.0000	7.6522	8	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.6866	0.2733	0.0401	0.1767	-1	0.736112	0.9999	3.8537	8	no_deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	0.5833	0.2149	0.2018	0.3092	-1	0.779285	1.0000	4.3784	4	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.6959	0.2637	0.0404	0.1722	-1	0.735265	0.5200	2.0152	4	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	0.6997	0.2570	0.0432	0.1717	-1	0.735381	0.7887	2.2623	4	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	0.6747	0.2924	0.0328	0.1790	-1	0.736202	0.9930	2.9800	4	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	0.6839	0.2806	0.0355	0.1758	-1	0.735669	0.9989	3.3261	4	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	0.6818	0.2841	0.0341	0.1762	-1	0.735652	0.9971	3.1458	4	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	0.6925	0.2747	0.0328	0.1702	-1	0.734185	0.9894	2.9020	4	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	0.6881	0.2735	0.0384	0.1752	-1	0.735773	0.9954	3.0612	4	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	0.7083	0.2487	0.0430	0.1674	-1	0.734367	0.9993	3.4222	4	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	0.8607	0.0464	0.0929	0.1161	-1	0.726751	0.9399	2.5536	4	no_deam	GP	2	plink_Lcmlkin
childB	familyX	childI	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.724655	0.0000	0.2453	1	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.678259	0.0000	0.2595	1	no_deam	GP	2	plink_Lcmlkin
childD	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.679237	0.0000	0.2453	1	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.679248	0.0000	0.2375	1	no_deam	GP	2	plink_Lcmlkin
childE	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.680004	0.0000	0.2941	1	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder0	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.677434	0.0000	0.2375	1	no_deam	GP	2	plink_Lcmlkin
childF	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.680998	0.0000	0.3113	1	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder1	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.682944	0.0000	0.2774	1	no_deam	GP	2	plink_Lcmlkin
childG	familyX	founder2	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.682990	0.0000	0.3026	1	no_deam	GP	2	plink_Lcmlkin
childH	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.677336	0.0000	0.2073	1	no_deam	GP	2	plink_Lcmlkin
