IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childD	familyX	founder3	OT	0	1.0	0.0	0.0	0.0	-1	0.729077	0.0	0.3655	1	no_deam	PO	1	plink_Lcmlkin	0.0
childE	familyX	founder4	OT	0	1.0	0.0	0.0	0.0	-1	0.730669	0.0	0.375	1	no_deam	PO	1	plink_Lcmlkin	0.0
childF	familyX	founder4	OT	0	1.0	0.0	0.0	0.0	-1	0.731637	0.0	0.3133	1	no_deam	PO	1	plink_Lcmlkin	0.0
childG	familyX	founder5	OT	0	1.0	0.0	0.0	0.0	-1	0.729874	0.0	0.2692	1	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.8016	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childH	OT	0	0.0	0.8874	0.1126	0.5563	-1	0.828055	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80421	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.80325	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.80361	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.803515	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80375	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.80267	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	childG	OT	0	0.0	1.0	0.0	0.5	-1	0.80424	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.80406	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.802895	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.80296	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childE	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.80477	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childF	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.804175	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.803755	1.0		20	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childD	OT	0	0.7898	0.0	0.2102	0.2102	-1	0.758006	0.1457	1.7123	2	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	childH	OT	0	0.7004	0.0115	0.2881	0.2938	-1	0.78335	0.1829	1.75	2	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder0	OT	0	0.7572	0.0393	0.2034	0.2231	-1	0.760589	0.1139	1.6757	2	no_deam	PO	1	plink_Lcmlkin	0.0
childA	familyX	founder1	OT	0	0.7679	0.0254	0.2067	0.2194	-1	0.760007	0.0174	1.475	2	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childE	OT	0	0.7809	0.0117	0.2074	0.2133	-1	0.75868	0.0874	1.64	2	no_deam	PO	1	plink_Lcmlkin	0.0
childB	familyX	childF	OT	0	0.767	0.0301	0.2029	0.2179	-1	0.759372	0.3815	1.9118	2	no_deam	PO	1	plink_Lcmlkin	0.0
