IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childB	familyX	founder19	OT	0	1.0	0.0	0.0	0.0	-1	0.688649	0.9894	2.902	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder20	OT	0	1.0	0.0	0.0	0.0	-1	0.689417	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder21	OT	0	1.0	0.0	0.0	0.0	-1	0.688016	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder22	OT	0	1.0	0.0	0.0	0.0	-1	0.689032	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder23	OT	0	1.0	0.0	0.0	0.0	-1	0.687397	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder24	OT	0	1.0	0.0	0.0	0.0	-1	0.689414	0.0397	1.5513	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder25	OT	0	1.0	0.0	0.0	0.0	-1	0.688322	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder26	OT	0	1.0	0.0	0.0	0.0	-1	0.688171	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder27	OT	0	1.0	0.0	0.0	0.0	-1	0.687207	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder28	OT	0	1.0	0.0	0.0	0.0	-1	0.688867	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder29	OT	0	1.0	0.0	0.0	0.0	-1	0.688127	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder2	OT	0	1.0	0.0	0.0	0.0	-1	0.687694	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder3	OT	0	1.0	0.0	0.0	0.0	-1	0.688124	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder4	OT	0	1.0	0.0	0.0	0.0	-1	0.688012	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder5	OT	0	1.0	0.0	0.0	0.0	-1	0.689474	0.3442	1.8841	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder6	OT	0	1.0	0.0	0.0	0.0	-1	0.689404	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder7	OT	0	1.0	0.0	0.0	0.0	-1	0.688687	0.0137	1.4568	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder8	OT	0	1.0	0.0	0.0	0.0	-1	0.688137	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childB	familyX	founder9	OT	0	1.0	0.0	0.0	0.0	-1	0.688254	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
childC	familyX	childH	OT	0	0.8037	0.1706	0.0257	0.111	-1	0.72002	0.9775	2.7547	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin	0.0
