a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childE	childF	99398	0.256647	0.501268	0.242051	9e-06	2.2e-05	2e-06	0.0	0.0	0.0	0.492702	3e-06	3.1e-05	0.246354	0.0	1.1e-05	0.242051	0.0	0.242051	0.492713	-3e-06	-160513.921382	62	-1	1.0	4.010394e-01,1.211820e-01,1.052732e-02,1.214104e-01,2.396432e-01,3.639378e-02,9.301620e-03,3.429468e-02,2.620769e-02	0.082744	0.719412	0.252326	-163353.99099	6	10	no_deam	FS	1	ngsrelateWithRealFreq	0.006027078728538409
childA	childB	99415	0.266539	0.48974	0.243718	0.0	0.0	2e-06	0.0	0.0	0.0	0.488589	2e-06	0.0	0.244294	0.0	0.0	0.243718	0.0	0.243718	0.48859	1e-06	-161657.197844	82	-1	0.99996	4.003524e-01,1.218200e-01,9.154280e-03,1.232454e-01,2.399933e-01,3.410762e-02,1.095983e-02,3.473019e-02,2.563691e-02	0.083811	0.718505	0.251628	-164396.331562	5	8	deam	FS	1	ngsrelateWithRealFreq	0.011807760795341352
childE	childF	99417	0.256889	0.501348	0.241753	0.0	4e-06	0.0	4e-06	1e-06	0.0	0.492434	5e-06	6e-06	0.246218	2e-06	3e-06	0.241754	0.0	0.241754	0.492437	-0.0	-161991.392497	62	-1	0.99998	3.994414e-01,1.213925e-01,1.048705e-02,1.217591e-01,2.409515e-01,3.642235e-02,9.144085e-03,3.427219e-02,2.612992e-02	0.081473	0.722543	0.253458	-164868.376278	6	8	deam	FS	1	ngsrelateWithRealFreq	0.006252690994017424
childA	childB	99407	0.267477	0.491918	0.240596	0.0	7e-06	0.0	0.0	1e-06	1e-06	0.486561	2e-06	8e-06	0.243282	1e-06	4e-06	0.240597	1e-06	0.240597	0.486564	0.0	-165298.487061	51	-1	0.99994	3.965408e-01,1.229129e-01,9.053444e-03,1.242862e-01,2.425972e-01,3.443666e-02,1.073258e-02,3.445355e-02,2.498675e-02	0.081559	0.722283	0.253375	-167922.653429	10	4	deam	FS	1	ngsrelateWithRealFreq	0.012372004270394784
childE	childF	99402	0.259036	0.502889	0.238074	0.0	0.0	0.0	0.0	1e-06	0.0	0.489518	1e-06	1e-06	0.244759	0.0	0.0	0.238074	0.0	0.238074	0.489519	0.0	-165841.393991	70	-1	0.999889	3.953655e-01,1.227228e-01,1.044054e-02,1.226933e-01,2.431595e-01,3.656086e-02,9.009484e-03,3.437424e-02,2.567378e-02	0.079989	0.724117	0.254475	-168676.045261	9	4	deam	FS	1	ngsrelateWithRealFreq	0.008798202335325852
childA	childB	89712	0.281226	0.483754	0.234986	4e-06	1e-05	8e-06	6e-06	1e-06	5e-06	0.47688	2e-05	2e-05	0.238444	8e-06	1e-05	0.234986	5e-06	0.234991	0.476891	2e-06	-144545.296725	42	-1	0.905542	3.945950e-01,1.246156e-01,8.260744e-03,1.269340e-01,2.431547e-01,3.387190e-02,1.142836e-02,3.281859e-02,2.432116e-02	0.080974	0.719544	0.25328	-146285.672904	19	1	deam	FS	1	ngsrelateWithRealFreq	0.02209385878473924
childE	childF	89456	0.275717	0.490693	0.233574	1e-06	1.5e-05	0.0	0.0	0.0	0.0	0.478932	0.0	1.6e-05	0.239468	0.0	8e-06	0.233574	0.0	0.233574	0.478936	-0.0	-144440.915299	62	-1	0.902958	3.919082e-01,1.235905e-01,1.047242e-02,1.258622e-01,2.447626e-01,3.669244e-02,9.108414e-03,3.225875e-02,2.534442e-02	0.079999	0.724183	0.254479	-146394.82393	22	1	deam	FS	1	ngsrelateWithRealFreq	0.018419173108475847
childA	childB	99410	0.266607	0.488355	0.245018	0.0	9e-06	5e-06	5e-06	0.0	0.0	0.489207	1e-05	9e-06	0.244605	3e-06	5e-06	0.245018	0.0	0.245019	0.489213	2e-06	-160445.57244	62	-1	1.0	4.018031e-01,1.212266e-01,9.244392e-03,1.227860e-01,2.390674e-01,3.415084e-02,1.104766e-02,3.489199e-02,2.578198e-02	0.08488	0.717172	0.250867	-163195.913727	5	20	deam	FS	1	ngsrelateWithRealFreq	0.01205845205654523
childE	childF	99410	0.256769	0.500979	0.242249	2e-06	0.0	0.0	0.0	0.0	0.0	0.492739	0.0	2e-06	0.246369	0.0	0.0	0.242249	0.0	0.242249	0.49274	-1e-06	-160556.081127	66	-1	1.0	4.010251e-01,1.213152e-01,1.066971e-02,1.212681e-01,2.397678e-01,3.652387e-02,9.133815e-03,3.415212e-02,2.614430e-02	0.082595	0.719888	0.252475	-163391.162899	5	20	deam	FS	1	ngsrelateWithRealFreq	0.005968132119851245
childA	childB	98592	0.270574	0.491141	0.238282	0.0	1e-06	1e-06	1e-06	0.0	1e-06	0.483854	2e-06	2e-06	0.241928	1e-06	1e-06	0.238282	1e-06	0.238283	0.483855	0.0	-166873.259612	42	-1	0.99316	3.941373e-01,1.246246e-01,8.521564e-03,1.248225e-01,2.439468e-01,3.381181e-02,1.090505e-02,3.429479e-02,2.493556e-02	0.079635	0.72392	0.254633	-169274.263371	10	2	deam	FS	1	ngsrelateWithRealFreq	0.014595465974061939
