a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childD	childF	99398	0.801092	0.198906	0.0	0.0	0.0	0.0	0.0	0.0	2e-06	0.099455	2e-06	2e-06	0.049728	2e-06	2e-06	0.0	2e-06	2e-06	0.099455	-0.0	-173149.847612	170	-1	1.0	3.106864e-01,1.827000e-01,2.888610e-02,1.883559e-01,1.718807e-01,3.515449e-02,3.272467e-02,4.053579e-02,9.076017e-03	0.358451	0.33811	0.061554	-178419.98945	7	10	no_deam	FC	3	ngsrelateWithRealFreq	0.04171725981733061
childD	childE	99416	0.802019	0.197718	0.000261	0.0	0.0	0.0	0.0	0.0	3e-06	0.099122	3e-06	3e-06	0.049563	3e-06	3e-06	0.000261	3e-06	0.000264	0.099122	-0.0	-174567.526308	162	-1	0.99997	3.090267e-01,1.843341e-01,2.766716e-02,1.886507e-01,1.750269e-01,3.347958e-02,3.356365e-02,3.987007e-02,8.381221e-03	0.349837	0.344836	0.066005	-179214.792897	5	8	deam	FC	3	ngsrelateWithRealFreq	0.04258110694506036
childD	childF	99414	0.80223	0.197769	0.0	0.0	0.0	0.0	0.0	0.0	1e-06	0.098885	1e-06	1e-06	0.049443	1e-06	1e-06	0.0	1e-06	1e-06	0.098885	-0.0	-174440.518658	2434	-1	0.99995	3.091470e-01,1.831443e-01,2.873083e-02,1.886459e-01,1.731656e-01,3.535096e-02,3.245315e-02,4.042734e-02,8.934981e-03	0.353327	0.340373	0.063985	-179717.744198	5	8	deam	FC	3	ngsrelateWithRealFreq	0.042646024672099665
childD	childE	99401	0.803708	0.194983	0.001307	0.0	0.0	0.0	0.0	0.0	2e-06	0.0988	2e-06	2e-06	0.049401	2e-06	2e-06	0.001307	2e-06	0.001309	0.0988	-0.0	-177913.248769	142	-1	0.999879	3.056170e-01,1.847515e-01,2.743045e-02,1.895705e-01,1.781967e-01,3.341573e-02,3.301365e-02,3.981549e-02,8.189010e-03	0.339199	0.350783	0.071284	-182460.052616	7	4	deam	FC	3	ngsrelateWithRealFreq	0.04439642553930064
childD	childF	99402	0.803416	0.196581	0.0	0.0	0.0	0.0	0.0	0.0	3e-06	0.098294	3e-06	3e-06	0.049148	3e-06	3e-06	0.0	3e-06	3e-06	0.098294	-0.0	-177920.688458	5006	-1	0.999889	3.052211e-01,1.842666e-01,2.830118e-02,1.894720e-01,1.764188e-01,3.530717e-02,3.206969e-02,3.997636e-02,8.967020e-03	0.342202	0.346331	0.069435	-183081.729812	9	4	deam	FC	3	ngsrelateWithRealFreq	0.04361520612890265
childD	childE	89551	0.806831	0.193144	2.2e-05	0.0	0.0	0.0	0.0	0.0	2e-06	0.096596	3e-06	3e-06	0.048299	2e-06	2e-06	2.2e-05	2e-06	2.4e-05	0.096597	-0.0	-151307.718208	66	-1	0.903916	3.030449e-01,1.907694e-01,2.608994e-02,1.910609e-01,1.770044e-01,3.314720e-02,3.233882e-02,3.907686e-02,7.467640e-03	0.330098	0.345386	0.074433	-154349.704654	15	1	deam	FC	3	ngsrelateWithRealFreq	0.04641252625818449
childD	childF	89465	0.821401	0.174242	0.004355	0.0	0.0	0.0	0.0	0.0	2e-06	0.091478	2e-06	2e-06	0.04574	2e-06	2e-06	0.004355	2e-06	0.004357	0.091478	-0.0	-151443.199617	218	-1	0.903048	3.048693e-01,1.850004e-01,2.932462e-02,1.890609e-01,1.772181e-01,3.559992e-02,3.294084e-02,3.811733e-02,7.868602e-03	0.351349	0.347456	0.065677	-154950.978818	19	1	deam	FC	3	ngsrelateWithRealFreq	0.06015630582075334
childD	childE	99410	0.801906	0.197859	0.000231	0.0	0.0	0.0	0.0	0.0	3e-06	0.099164	3e-06	3e-06	0.049584	3e-06	3e-06	0.000231	3e-06	0.000234	0.099164	-0.0	-173303.989871	162	-1	1.0	3.105625e-01,1.838785e-01,2.773234e-02,1.884743e-01,1.737826e-01,3.338637e-02,3.397111e-02,3.990566e-02,8.306636e-03	0.355061	0.342531	0.063509	-177903.650644	5	20	deam	FC	3	ngsrelateWithRealFreq	0.042477327591708657
childD	childF	99410	0.80196	0.197924	0.000116	0.0	0.0	0.0	0.0	0.0	0.0	0.099078	0.0	0.0	0.049539	0.0	0.0	0.000116	0.0	0.000116	0.099078	0.0	-173216.449075	98	-1	1.0	3.105269e-01,1.828281e-01,2.881783e-02,1.880990e-01,1.720570e-01,3.548759e-02,3.278877e-02,4.036150e-02,9.033275e-03	0.358059	0.33844	0.061758	-178531.993633	5	20	deam	FC	3	ngsrelateWithRealFreq	0.04247259835077985
childD	childE	98584	0.806056	0.191343	0.002599	0.0	0.0	0.0	0.0	0.0	2e-06	0.098272	3e-06	3e-06	0.049137	2e-06	2e-06	0.002599	2e-06	0.002601	0.098273	-0.0	-177845.88636	130	-1	0.99308	3.038449e-01,1.848872e-01,2.692229e-02,1.903719e-01,1.796304e-01,3.360997e-02,3.321168e-02,3.919732e-02,8.324359e-03	0.334765	0.353464	0.07353	-182029.780182	11	2	deam	FC	3	ngsrelateWithRealFreq	0.04686744991996043
