a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childD	childG	92033	0.915687	0.082345	0.001967	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.043140	0.000001	0.000001	0.021571	0.000001	0.000001	0.001967	0.000001	0.001968	0.043141	0.000000	-150074.946051	66	-1	0.930557	2.954484e-01,1.892359e-01,3.662030e-02,1.881440e-01,1.690149e-01,3.989139e-02,3.593384e-02,3.654461e-02,9.166745e-03	0.429277	0.321095	0.030191	-155101.205619	14	2	no_deam	HC	4	ngsrelateWithRealFreq
childE	childG	91962	0.929257	0.068823	0.001910	0.000001	0.000005	0.000001	0.000001	0.000000	0.000002	0.036327	0.000003	0.000008	0.018165	0.000002	0.000004	0.001910	0.000002	0.001911	0.036330	-0.000000	-149636.844388	94	-1	0.929839	2.969763e-01,1.938143e-01,4.010775e-02,1.907733e-01,1.690917e-01,3.947597e-02,3.188244e-02,3.156148e-02,6.316699e-03	0.425746	0.320483	0.031634	-153445.764040	18	2	no_deam	HC	4	ngsrelateWithRealFreq
childF	childG	91963	0.925568	0.072914	0.001504	0.000007	0.000000	0.000001	0.000000	0.000000	0.000006	0.037967	0.000007	0.000013	0.018986	0.000006	0.000006	0.001504	0.000006	0.001509	0.037971	-0.000003	-149416.517567	70	-1	0.929849	2.972216e-01,1.935854e-01,3.906046e-02,1.892162e-01,1.682422e-01,3.937075e-02,3.302448e-02,3.286649e-02,7.412328e-03	0.428459	0.319170	0.030413	-153757.672635	14	2	no_deam	HC	4	ngsrelateWithRealFreq
childD	childG	99398	0.905590	0.094204	0.000123	0.000050	0.000003	0.000030	0.000000	0.000000	0.000000	0.047227	0.000030	0.000053	0.023614	0.000000	0.000002	0.000123	0.000000	0.000123	0.047268	-0.000010	-174406.074356	54	-1	1.000000	2.977833e-01,1.881777e-01,3.631628e-02,1.874087e-01,1.675242e-01,4.045714e-02,3.500092e-02,3.789524e-02,9.436529e-03	0.425713	0.318938	0.031546	-181234.248632	5	10	no_deam	HC	4	ngsrelateWithRealFreq
childE	childG	99398	0.927292	0.072452	0.000177	0.000075	0.000001	0.000000	0.000000	0.000000	0.000003	0.036407	0.000003	0.000079	0.018205	0.000003	0.000004	0.000177	0.000003	0.000180	0.036445	-0.000037	-173934.444239	50	-1	1.000000	2.984953e-01,1.946098e-01,3.964832e-02,1.891623e-01,1.681559e-01,4.013480e-02,3.253508e-02,3.083045e-02,6.428071e-03	0.429265	0.319129	0.030073	-179103.871905	6	10	no_deam	HC	4	ngsrelateWithRealFreq
childF	childG	99398	0.935276	0.064095	0.000628	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.032677	0.000001	0.000001	0.016339	0.000001	0.000001	0.000628	0.000001	0.000629	0.032677	0.000000	-173840.329006	82	-1	1.000000	2.982651e-01,1.938130e-01,3.969290e-02,1.886023e-01,1.672292e-01,3.928014e-02,3.332758e-02,3.255276e-02,7.236924e-03	0.436649	0.317161	0.026865	-179691.348396	5	10	no_deam	HC	4	ngsrelateWithRealFreq
childD	childG	99414	0.905577	0.094314	0.000107	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.047264	0.000002	0.000001	0.023633	0.000001	0.000001	0.000107	0.000001	0.000107	0.047265	0.000001	-175514.933024	58	-1	0.999950	2.963845e-01,1.886695e-01,3.597332e-02,1.878920e-01,1.690574e-01,4.020759e-02,3.476868e-02,3.767884e-02,9.368205e-03	0.418450	0.321898	0.034790	-182288.511800	6	8	deam	HC	4	ngsrelateWithRealFreq
childE	childG	99417	0.927471	0.072258	0.000260	0.000001	0.000002	0.000006	0.000001	0.000001	0.000001	0.036392	0.000009	0.000004	0.018197	0.000002	0.000002	0.000260	0.000001	0.000262	0.036397	0.000003	-175194.141161	66	-1	0.999980	2.968619e-01,1.952258e-01,3.913079e-02,1.898317e-01,1.694979e-01,3.992416e-02,3.233841e-02,3.069052e-02,6.498717e-03	0.421653	0.321542	0.033422	-180364.491653	6	8	deam	HC	4	ngsrelateWithRealFreq
childF	childG	99415	0.935100	0.064858	0.000024	0.000016	0.000000	0.000000	0.000000	0.000000	0.000002	0.032455	0.000002	0.000018	0.016229	0.000002	0.000002	0.000024	0.000002	0.000026	0.032463	-0.000008	-175078.951395	66	-1	0.999960	2.967032e-01,1.943900e-01,3.913576e-02,1.890221e-01,1.685088e-01,3.922539e-02,3.329368e-02,3.252736e-02,7.193746e-03	0.429826	0.319391	0.029854	-180924.154911	6	8	deam	HC	4	ngsrelateWithRealFreq
childD	childG	99404	0.904182	0.095796	0.000008	0.000003	0.000000	0.000000	0.000000	0.000009	0.000001	0.047907	0.000011	0.000014	0.023954	0.000001	0.000001	0.000017	0.000001	0.000018	0.047918	-0.000002	-179097.620772	74	-1	0.999909	2.932221e-01,1.891831e-01,3.535556e-02,1.886424e-01,1.722083e-01,4.036144e-02,3.431457e-02,3.760799e-02,9.104539e-03	0.404569	0.327726	0.041074	-185713.160762	7	4	deam	HC	4	ngsrelateWithRealFreq
