a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childB	childC	99398	0.543712	0.45624	3.9e-05	3e-06	6e-06	0.0	0.0	0.0	0.0	0.228163	0.0	9e-06	0.114082	0.0	3e-06	3.9e-05	0.0	3.9e-05	0.228166	-2e-06	-171023.788429	70	-1	1.0	3.369045e-01,1.760816e-01,2.299773e-02,1.696389e-01,1.789598e-01,4.638529e-02,1.844897e-02,3.861630e-02,1.196689e-02	0.231598	0.379017	0.121812	-175168.020559	6	10	no_deam	HS	2	ngsrelateWithRealFreq	0.03571030693884703
childA	childC	99413	0.535434	0.464496	7.1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.232318	0.0	0.0	0.116159	0.0	0.0	7.1e-05	0.0	7.1e-05	0.232318	-0.0	-172113.306366	90	-1	0.99994	3.356229e-01,1.735221e-01,2.205845e-02,1.695311e-01,1.819816e-01,4.596203e-02,1.864248e-02,3.998077e-02,1.269858e-02	0.223654	0.387445	0.126841	-176728.843157	5	8	deam	HS	2	ngsrelateWithRealFreq	0.028960360339609012
childB	childC	99411	0.54323	0.456738	3.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.228401	0.0	0.0	0.1142	0.0	0.0	3.2e-05	0.0	3.2e-05	0.228401	-0.0	-172227.239609	66	-1	0.99992	3.354048e-01,1.764897e-01,2.259102e-02,1.700008e-01,1.803195e-01,4.628876e-02,1.839306e-02,3.866839e-02,1.184391e-02	0.227286	0.381684	0.124167	-176383.371503	5	8	deam	HS	2	ngsrelateWithRealFreq	0.03531021838882715
childA	childC	99405	0.532567	0.467366	6.7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.23375	0.0	0.0	0.116875	0.0	0.0	6.7e-05	0.0	6.7e-05	0.23375	-0.0	-175475.616233	114	-1	0.99992	3.321909e-01,1.745450e-01,2.153664e-02,1.704074e-01,1.851262e-01,4.605217e-02,1.797605e-02,3.966520e-02,1.250041e-02	0.213436	0.393733	0.132473	-179966.930164	7	4	deam	HS	2	ngsrelateWithRealFreq	0.026618238947508654
childB	childC	99409	0.544204	0.45578	1.3e-05	0.0	0.0	0.0	0.0	1e-06	3e-06	0.227906	4e-06	4e-06	0.113954	3e-06	3e-06	1.3e-05	3e-06	1.6e-05	0.227906	0.0	-175881.865156	70	-1	0.99996	3.317460e-01,1.773278e-01,2.219415e-02,1.706550e-01,1.833734e-01,4.626014e-02,1.814230e-02,3.865704e-02,1.164427e-02	0.219969	0.387488	0.128432	-179956.229968	9	4	deam	HS	2	ngsrelateWithRealFreq	0.036098948207207736
childA	childC	89707	0.558087	0.441888	2.3e-05	0.0	0.0	0.0	0.0	0.0	3e-06	0.220969	3e-06	3e-06	0.110486	3e-06	3e-06	2.3e-05	3e-06	2.5e-05	0.220969	0.0	-150253.417339	98	-1	0.905491	3.294910e-01,1.759786e-01,2.163188e-02,1.730554e-01,1.847501e-01,4.616648e-02,1.889525e-02,3.861961e-02,1.141168e-02	0.219362	0.389483	0.129084	-153431.427485	18	1	deam	HS	2	ngsrelateWithRealFreq	0.047438046060098216
childB	childC	89776	0.553572	0.446388	3.3e-05	0.0	0.0	0.0	0.0	1e-06	6e-06	0.223232	7e-06	7e-06	0.111619	6e-06	6e-06	3.4e-05	6e-06	4e-05	0.223234	0.0	-150180.270688	94	-1	0.906188	3.316103e-01,1.781605e-01,2.280333e-02,1.735156e-01,1.829538e-01,4.526719e-02,1.657095e-02,3.778469e-02,1.133363e-02	0.215214	0.385895	0.130153	-153006.239052	22	1	deam	HS	2	ngsrelateWithRealFreq	0.04375769196000476
childA	childC	99410	0.533835	0.466131	2.6e-05	0.0	0.0	0.0	0.0	2e-06	6e-06	0.233097	8e-06	9e-06	0.116552	6e-06	6e-06	2.8e-05	6e-06	3.4e-05	0.2331	-0.0	-170913.254838	86	-1	1.0	3.370345e-01,1.730222e-01,2.221105e-02,1.690613e-01,1.807057e-01,4.624172e-02,1.871013e-02,4.007536e-02,1.293812e-02	0.226452	0.385036	0.125173	-175575.769294	5	20	deam	HS	2	ngsrelateWithRealFreq	0.027640049819057825
childB	childC	99410	0.542999	0.456966	3.1e-05	0.0	4e-06	0.0	0.0	0.0	0.0	0.228517	0.0	4e-06	0.114259	0.0	2e-06	3.1e-05	0.0	3.1e-05	0.228518	-0.0	-171070.095965	98	-1	1.0	3.367743e-01,1.759944e-01,2.287249e-02,1.695399e-01,1.791641e-01,4.647754e-02,1.848898e-02,3.864773e-02,1.204055e-02	0.230858	0.379568	0.122234	-175263.056008	5	20	deam	HS	2	ngsrelateWithRealFreq	0.035122832640131225
childA	childC	98620	0.539211	0.460667	0.000114	0.0	0.0	0.0	0.0	0.0	8e-06	0.230455	8e-06	8e-06	0.115231	8e-06	8e-06	0.000114	8e-06	0.000122	0.230456	0.0	-175759.479444	62	-1	0.993442	3.301012e-01,1.755228e-01,2.143226e-02,1.707494e-01,1.865435e-01,4.553770e-02,1.794530e-02,4.019810e-02,1.196973e-02	0.21109	0.395734	0.133883	-179857.603885	11	2	deam	HS	2	ngsrelateWithRealFreq	0.03206555995664716
childB	childC	98612	0.549597	0.450379	2.1e-05	0.0	0.0	0.0	0.0	1e-06	2e-06	0.225213	3e-06	3e-06	0.112608	2e-06	2e-06	2.2e-05	2e-06	2.4e-05	0.225214	0.0	-175386.000882	94	-1	0.993362	3.292026e-01,1.785372e-01,2.212616e-02,1.723770e-01,1.853616e-01,4.532392e-02,1.739816e-02,3.836266e-02,1.131059e-02	0.213228	0.390955	0.132013	-179064.495835	10	2	deam	HS	2	ngsrelateWithRealFreq	0.04050558188283027
childA	childC	99410	0.534291	0.465629	6.3e-05	6e-06	0.0	1e-05	0.0	1e-06	0.0	0.232878	1.1e-05	7e-06	0.116439	0.0	0.0	6.4e-05	0.0	6.4e-05	0.232887	2e-06	-171479.302714	114	-1	1.0	3.363731e-01,1.733376e-01,2.208678e-02,1.692652e-01,1.813561e-01,4.615074e-02,1.866962e-02,3.995568e-02,1.280510e-02	0.224731	0.386303	0.126157	-176105.167448	5	10	deam	HS	2	ngsrelateWithRealFreq	0.02803118674500479
childB	childC	99409	0.542618	0.457352	2.5e-05	2e-06	1e-06	0.0	0.0	1e-06	2e-06	0.228704	3e-06	5e-06	0.114353	2e-06	2e-06	2.6e-05	2e-06	2.8e-05	0.228706	-1e-06	-171750.592186	54	-1	0.99999	3.360662e-01,1.762160e-01,2.266071e-02,1.697668e-01,1.798429e-01,4.641226e-02,1.846441e-02,3.860119e-02,1.196964e-02	0.228672	0.380925	0.123428	-175923.189375	5	10	deam	HS	2	ngsrelateWithRealFreq	0.03480970388172435
childA	childC	99379	0.534911	0.465069	1.6e-05	0.0	0.0	0.0	0.0	0.0	3e-06	0.232554	3e-06	3e-06	0.116279	3e-06	3e-06	1.6e-05	3e-06	1.9e-05	0.232554	-0.0	-170770.683232	90	-1	0.99998	3.372213e-01,1.732495e-01,2.232294e-02,1.692865e-01,1.803819e-01,4.612859e-02,1.863198e-02,3.995026e-02,1.282712e-02	0.227046	0.384143	0.124746	-175360.98248	6	8	no_deam	HS	2	ngsrelateWithRealFreq	0.02851287976803934
childB	childC	99381	0.543344	0.45665	3e-06	1e-06	0.0	0.0	0.0	0.0	2e-06	0.22833	2e-06	3e-06	0.114166	2e-06	2e-06	3e-06	2e-06	5e-06	0.228331	-1e-06	-170983.876275	66	-1	1.0	3.369520e-01,1.758872e-01,2.288263e-02,1.696721e-01,1.787677e-01,4.645032e-02,1.852804e-02,3.890909e-02,1.195094e-02	0.231645	0.378481	0.121689	-175140.811898	6	8	no_deam	HS	2	ngsrelateWithRealFreq	0.035392677420619106
