a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childB	childD	99408	0.542851	0.457058	9.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.22862	0.0	0.0	0.11431	0.0	0.0	9.2e-05	0.0	9.2e-05	0.22862	-0.0	-171122.012893	94	-1	1.0	3.357776e-01,1.769575e-01,2.288675e-02,1.683173e-01,1.801863e-01,4.665483e-02,1.830833e-02,3.844762e-02,1.246371e-02	0.228625	0.382097	0.123675	-175379.008126	5	20	no_deam	A	2	ngsrelateWithRealFreq	0.03502490556256598
childA	childE	91851	0.535963	0.463904	0.000126	0.0	0.0	0.0	0.0	0.0	6e-06	0.232085	6e-06	6e-06	0.116045	6e-06	6e-06	0.000127	6e-06	0.000133	0.232085	0.0	-146995.352322	190	-1	0.928717	3.376821e-01,1.761156e-01,1.937978e-02,1.733820e-01,1.840298e-01,4.002617e-02,1.991695e-02,3.946924e-02,9.998424e-03	0.213535	0.392983	0.132283	-149247.330084	15	2	no_deam	A	2	ngsrelateWithRealFreq	0.029418103615517655
childA	childF	91877	0.551283	0.448706	5e-06	2e-06	1e-06	2e-06	0.0	0.0	0.0	0.224359	3e-06	3e-06	0.11218	0.0	1e-06	5e-06	0.0	5e-06	0.224361	0.0	-146904.116275	62	-1	0.928979	3.369379e-01,1.759000e-01,2.020616e-02,1.727454e-01,1.814400e-01,4.321414e-02,2.048414e-02,3.942009e-02,9.652210e-03	0.224263	0.384431	0.125994	-149638.488835	18	2	no_deam	A	2	ngsrelateWithRealFreq	0.04187688523119486
childB	childD	91923	0.548975	0.450944	6.6e-05	1.4e-05	1e-06	1e-06	0.0	0.0	0.0	0.225539	1e-06	1.5e-05	0.11277	0.0	1e-06	6.6e-05	0.0	6.6e-05	0.225546	-6e-06	-147731.926127	58	-1	0.929445	3.336533e-01,1.781033e-01,2.282326e-02,1.701037e-01,1.807262e-01,4.726083e-02,1.789760e-02,3.749744e-02,1.193427e-02	0.225318	0.381532	0.124978	-150772.070995	15	2	no_deam	A	2	ngsrelateWithRealFreq	0.04002101996451364
childA	childE	99398	0.530677	0.469247	7.6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.2347	0.0	0.0	0.11735	0.0	0.0	7.6e-05	0.0	7.6e-05	0.2347	-0.0	-170421.973344	106	-1	1.0	3.392404e-01,1.737917e-01,1.935045e-02,1.728623e-01,1.828058e-01,4.024451e-02,2.063938e-02,4.087392e-02,1.019148e-02	0.218756	0.390809	0.129605	-173714.484114	5	10	no_deam	A	2	ngsrelateWithRealFreq	0.025078750061888356
childA	childF	99398	0.543882	0.456066	5.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.228085	0.0	0.0	0.114043	0.0	0.0	5.2e-05	0.0	5.2e-05	0.228085	-0.0	-170472.58394	74	-1	1.0	3.386836e-01,1.736199e-01,2.006442e-02,1.722342e-01,1.808919e-01,4.280055e-02,2.083574e-02,4.062171e-02,1.024789e-02	0.226103	0.384732	0.125264	-174298.680285	6	10	no_deam	A	2	ngsrelateWithRealFreq	0.03585075073133056
childB	childD	99398	0.542769	0.457131	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.228665	0.0	0.0	0.114333	0.0	0.0	0.0001	0.0	0.0001	0.228665	-0.0	-171103.065834	110	-1	1.0	3.357701e-01,1.772228e-01,2.299856e-02,1.682643e-01,1.799346e-01,4.678274e-02,1.823227e-02,3.824852e-02,1.254604e-02	0.229143	0.38142	0.123323	-175343.632075	6	10	no_deam	A	2	ngsrelateWithRealFreq	0.03496163860576329
childA	childE	99418	0.531288	0.468649	6.3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.234388	0.0	0.0	0.117194	0.0	0.0	6.3e-05	0.0	6.3e-05	0.234388	0.0	-171779.36183	90	-1	0.99999	3.377257e-01,1.743392e-01,1.914740e-02,1.730040e-01,1.841691e-01,4.029958e-02,2.052499e-02,4.070642e-02,1.008362e-02	0.215413	0.393506	0.131575	-175078.5296	6	8	deam	A	2	ngsrelateWithRealFreq	0.025572303468140423
childA	childF	99416	0.544532	0.455451	1.8e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.227743	0.0	0.0	0.113871	0.0	0.0	1.8e-05	0.0	1.8e-05	0.227743	0.0	-171804.494618	78	-1	0.99997	3.370533e-01,1.741801e-01,1.997465e-02,1.726129e-01,1.820685e-01,4.279771e-02,2.059509e-02,4.047250e-02,1.024538e-02	0.222827	0.386859	0.127083	-175642.188608	6	8	deam	A	2	ngsrelateWithRealFreq	0.03636716810989459
childB	childD	99413	0.54237	0.457578	4.7e-05	0.0	0.0	0.0	0.0	1e-06	4e-06	0.22884	5e-06	5e-06	0.114422	4e-06	4e-06	4.8e-05	4e-06	5.2e-05	0.228841	0.0	-172248.481058	98	-1	0.99994	3.343593e-01,1.773778e-01,2.275808e-02,1.686028e-01,1.814203e-01,4.658522e-02,1.808011e-02,3.834651e-02,1.246983e-02	0.225103	0.384568	0.125661	-176503.835002	6	8	deam	A	2	ngsrelateWithRealFreq	0.03461620619016476
