a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childE	founder1	91879	0.549667	0.444408	0.005925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.228129	0.000000	0.000000	0.114064	0.000000	0.000000	0.005925	0.000000	0.005925	0.228129	-0.000000	-147375.897219	74	-1	0.929000	3.368708e-01,1.738811e-01,2.121613e-02,1.724645e-01,1.824885e-01,4.335668e-02,2.018254e-02,3.775363e-02,1.178610e-02	0.226856	0.389222	0.125804	-150122.882803	17	2	no_deam	GP	2	ngsrelateWithRealFreq
childF	founder0	91980	0.548579	0.443360	0.008057	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.229741	0.000004	0.000004	0.114872	0.000004	0.000004	0.008057	0.000004	0.008061	0.229741	0.000000	-147631.066911	90	-1	0.930021	3.332294e-01,1.735489e-01,2.307374e-02,1.676632e-01,1.847539e-01,4.496091e-02,1.881507e-02,3.943622e-02,1.451865e-02	0.226728	0.395197	0.126995	-151461.148520	15	2	no_deam	GP	2	ngsrelateWithRealFreq
childF	founder1	91879	0.556080	0.439335	0.004562	0.000000	0.000000	0.000000	0.000000	0.000017	0.000005	0.224235	0.000023	0.000022	0.112120	0.000005	0.000005	0.004579	0.000005	0.004584	0.224253	0.000000	-147250.480914	74	-1	0.929000	3.354815e-01,1.736786e-01,2.104030e-02,1.731485e-01,1.811945e-01,4.223991e-02,2.059289e-02,3.960213e-02,1.302164e-02	0.229771	0.385272	0.123794	-150453.647704	18	2	no_deam	GP	2	ngsrelateWithRealFreq
childG	founder1	92008	0.527299	0.472675	0.000020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.236363	0.000005	0.000005	0.118184	0.000005	0.000005	0.000020	0.000005	0.000025	0.236363	0.000000	-148046.755586	110	-1	0.930304	3.343292e-01,1.659648e-01,1.914823e-02,1.717609e-01,1.804145e-01,4.293763e-02,2.181225e-02,4.890776e-02,1.472466e-02	0.227035	0.383427	0.124612	-152149.800187	15	2	no_deam	GP	2	ngsrelateWithRealFreq
childG	founder2	92097	0.527052	0.465249	0.004682	0.003009	0.000000	0.000000	0.000000	0.000000	0.000008	0.237314	0.000008	0.003017	0.118661	0.000008	0.000008	0.004682	0.000008	0.004690	0.238819	-0.001505	-149116.592746	158	-1	0.931204	3.271900e-01,1.673204e-01,2.478732e-02,1.613757e-01,1.805592e-01,5.251362e-02,1.806551e-02,4.686071e-02,2.132761e-02	0.237334	0.383415	0.120191	-154796.489453	18	2	no_deam	GP	2	ngsrelateWithRealFreq
childH	founder4	91995	0.429940	0.461061	0.000114	0.000001	0.000207	0.108674	0.000003	0.000000	0.000000	0.230802	0.108677	0.000208	0.115428	0.000002	0.000104	0.000114	0.000000	0.000114	0.285193	0.054337	-149472.526335	246	-1	0.930173	3.476308e-01,1.860886e-01,2.651885e-02,1.417248e-01,1.591390e-01,4.695671e-02,2.895943e-02,4.720175e-02,1.578005e-02	0.348615	0.333310	0.065089	-152893.415108	18	2	no_deam	GP	2	ngsrelateWithRealFreq
childB	childI	99398	0.140446	0.498789	0.120883	0.127710	0.112171	0.000000	0.000000	0.000000	0.000000	0.454406	0.000000	0.239881	0.241225	0.000000	0.056086	0.120883	0.000000	0.120883	0.546304	-0.063855	-167608.402372	90	-1	1.000000	4.152680e-01,9.758310e-02,2.313085e-02,1.606853e-01,1.685772e-01,6.573802e-02,1.198785e-02,2.943137e-02,2.759829e-02	0.208324	0.433855	0.142399	-169736.144023	6	10	no_deam	GP	2	ngsrelateWithRealFreq
childD	founder0	99398	0.536083	0.460154	0.003720	0.000011	0.000001	0.000009	0.000019	0.000002	0.000001	0.233813	0.000031	0.000014	0.116909	0.000010	0.000001	0.003722	0.000001	0.003723	0.233830	-0.000001	-171491.707280	46	-1	1.000000	3.322572e-01,1.682791e-01,2.173076e-02,1.685454e-01,1.819182e-01,4.494468e-02,1.979396e-02,4.560986e-02,1.692084e-02	0.228260	0.387965	0.124958	-177504.383139	6	10	no_deam	GP	2	ngsrelateWithRealFreq
childD	founder1	99398	0.535186	0.459723	0.005091	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.234952	0.000000	0.000000	0.117476	0.000000	0.000000	0.005091	0.000000	0.005091	0.234952	0.000000	-171333.853374	94	-1	1.000000	3.357161e-01,1.665727e-01,1.998505e-02,1.705224e-01,1.825159e-01,4.235479e-02,2.192320e-02,4.563729e-02,1.477265e-02	0.229614	0.390830	0.124917	-176504.962902	6	10	no_deam	GP	2	ngsrelateWithRealFreq
childE	founder0	99398	0.528926	0.468157	0.002916	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.236995	0.000000	0.000000	0.118497	0.000000	0.000000	0.002916	0.000000	0.002916	0.236995	-0.000000	-170933.665669	86	-1	1.000000	3.357097e-01,1.736047e-01,2.343326e-02,1.677381e-01,1.834754e-01,4.624644e-02,1.714724e-02,3.873867e-02,1.390647e-02	0.221177	0.392958	0.128977	-175504.261583	6	10	no_deam	GP	2	ngsrelateWithRealFreq
