a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childB	childF	99414	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50001	0.0	0.0	0.250005	0.0	0.0	2.1e-05	0.0	2.1e-05	0.50001	-0.0	-160417.076135	162	-160417.099608	0.99995	3.874047e-01,1.471735e-01,4.016625e-07,1.429339e-01,1.986215e-01,5.492194e-02,2.184404e-07,5.080254e-02,1.814129e-02	3e-06	0.501782	0.250443	-163471.275187	5	8	deam	PO	1	ngsrelateWithRealFreq	0.0
childB	founder0	99413	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500012	2e-06	3e-06	0.250006	0.0	0.0	2.7e-05	0.0	2.7e-05	0.500014	-1e-06	-160482.809013	135	-160482.919097	0.99994	3.854034e-01,1.491912e-01,8.021848e-06,1.340036e-01,1.993416e-01,6.309253e-02,8.193229e-06,4.885214e-02,2.009932e-02	8.1e-05	0.504463	0.251075	-164432.835992	6	8	deam	PO	1	ngsrelateWithRealFreq	0.0
childB	founder1	99414	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500022	1e-06	7e-06	0.250012	0.0	3e-06	4.1e-05	0.0	4.1e-05	0.500024	0.0	-160654.570996	139	-160654.652951	0.99995	3.852269e-01,1.493220e-01,2.487244e-07,1.415868e-01,1.978794e-01,5.705551e-02,4.901464e-09,4.934735e-02,1.958184e-02	1e-06	0.498046	0.24951	-163967.268234	6	8	deam	PO	1	ngsrelateWithRealFreq	0.0
childC	childG	99412	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500066	1e-06	2e-06	0.250033	0.0	1e-06	0.000132	0.0	0.000132	0.500067	-0.0	-161071.011572	166	-161071.083161	0.99993	3.818222e-01,1.420338e-01,4.712753e-07,1.373011e-01,1.982833e-01,5.980503e-02,1.587097e-10,5.495221e-02,2.580190e-02	2e-06	0.503139	0.250781	-166259.544448	9	8	deam	PO	1	ngsrelateWithRealFreq	0.0
childC	founder1	99412	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500046	6e-06	0.0	0.250024	3e-06	0.0	8.9e-05	0.0	8.9e-05	0.500048	-0.0	-160796.775209	162	-160796.848841	0.99993	3.837418e-01,1.401374e-01,1.265249e-07,1.430584e-01,1.987191e-01,5.358089e-02,1.021458e-06,5.773039e-02,2.303084e-02	6e-06	0.503713	0.250922	-165329.109518	6	8	deam	PO	1	ngsrelateWithRealFreq	0.0
childC	founder2	99412	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50004	0.0	0.000153	0.250039	0.0	7.7e-05	3e-06	0.0	3e-06	0.500078	-0.0	-161513.998897	190	-161514.062484	0.99993	3.782553e-01,1.456221e-01,4.164011e-07,1.287332e-01,1.969360e-01,6.970807e-02,2.868655e-10,5.272439e-02,2.802051e-02	2e-06	0.496325	0.249077	-167534.295163	9	8	deam	PO	1	ngsrelateWithRealFreq	0.0
childD	founder3	99416	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500023	0.0	5e-06	0.250012	0.0	2e-06	4.4e-05	0.0	4.4e-05	0.500024	-0.0	-161724.901644	114	-161724.935773	0.99997	3.752401e-01,1.459021e-01,2.114747e-06,1.260185e-01,2.001153e-01,7.088142e-02,7.150575e-09,5.372322e-02,2.811720e-02	1.1e-05	0.50467	0.251157	-167871.931369	6	8	deam	PO	1	ngsrelateWithRealFreq	0.0
childE	founder4	99418	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500082	0.0	2e-06	0.250041	0.0	1e-06	0.000164	0.0	0.000164	0.500083	-0.0	-160970.699199	170	-160970.769114	0.99999	3.846670e-01,1.466559e-01,4.454968e-10,1.314644e-01,2.008013e-01,6.684618e-02,4.298750e-08,4.786436e-02,2.170083e-02	0.0	0.511165	0.25276	-165162.836494	9	8	deam	PO	1	ngsrelateWithRealFreq	0.0
childF	founder4	99416	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.500025	0.0	1e-05	0.250014	0.0	5e-06	4.6e-05	0.0	4.6e-05	0.500028	0.0	-160866.445543	158	-160866.488799	0.99997	3.848750e-01,1.454751e-01,1.766072e-07,1.312501e-01,1.988759e-01,6.646448e-02,1.900192e-07,5.098201e-02,2.207701e-02	2e-06	0.504541	0.251129	-165519.941428	6	8	deam	PO	1	ngsrelateWithRealFreq	0.0
childG	founder5	99415	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50004	0.0	0.0	0.25002	0.0	0.0	8e-05	0.0	8e-05	0.50004	-0.0	-161641.193198	194	-161641.212984	0.99996	3.751831e-01,1.439719e-01,1.418138e-06,1.278544e-01,1.998864e-01,6.750134e-02,2.775438e-07,5.542628e-02,3.017495e-02	8e-06	0.506355	0.251575	-168111.28079	6	8	deam	PO	1	ngsrelateWithRealFreq	0.0
childA	childD	99402	0.000235	0.999747	9e-06	5e-06	2e-06	0.0	0.0	0.0	2e-06	0.499886	2e-06	9e-06	0.249944	2e-06	3e-06	9e-06	2e-06	1.1e-05	0.499889	-3e-06	-164760.26956	102	-1.0	0.999889	3.778333e-01,1.505578e-01,1.583011e-05,1.401275e-01,2.006524e-01,6.054564e-02,4.755664e-07,4.973347e-02,2.053344e-02	8.1e-05	0.500404	0.250065	-168769.15804	13	4	deam	PO	1	ngsrelateWithRealFreq	0.0001994283497064995
childA	childH	99404	7e-06	0.789963	0.111669	1e-06	0.098356	2e-06	3e-06	0.0	0.0	0.580419	5e-06	0.098357	0.302505	2e-06	0.049178	0.111669	0.0	0.111669	0.60501	1e-06	-162501.447426	82	-1.0	0.999909	4.202224e-01,1.083209e-01,1.583626e-06,1.365699e-01,2.029395e-01,6.169788e-02,6.085106e-07,4.157933e-02,2.866786e-02	1.1e-05	0.582874	0.269128	-164859.868842	11	4	deam	PO	1	ngsrelateWithRealFreq	0.13733839834389605
