IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childE	familyX	childG	OT	0	0.8794	0.1206	0.0000	0.0603	-1	0.702195	0.8649	2.3729	20	no_deam	HC	4	plink
childF	familyX	childG	OT	0	0.8926	0.1074	0.0000	0.0537	-1	0.701610	0.9954	3.0612	20	no_deam	HC	4	plink
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.698257	0.0199	1.4875	2	no_deam	HC	4	plink
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.697110	0.0003	1.2360	2	no_deam	HC	4	plink
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.694719	0.0003	1.2360	2	no_deam	HC	4	plink
childD	familyX	childG	OT	0	0.8716	0.1284	0.0000	0.0642	-1	0.703425	0.5200	2.0152	10	no_deam	HC	4	plink
childE	familyX	childG	OT	0	0.8832	0.1168	0.0000	0.0584	-1	0.702020	0.8649	2.3729	10	no_deam	HC	4	plink
childF	familyX	childG	OT	0	0.8961	0.1039	0.0000	0.0520	-1	0.701485	0.9954	3.0612	10	no_deam	HC	4	plink
childD	familyX	childG	OT	0	0.8630	0.1370	0.0000	0.0685	-1	0.704318	0.5795	2.0615	8	deam	HC	4	plink
childE	familyX	childG	OT	0	0.8744	0.1256	0.0000	0.0628	-1	0.702837	0.7887	2.2623	8	deam	HC	4	plink
childF	familyX	childG	OT	0	0.8877	0.1123	0.0000	0.0562	-1	0.702364	0.9982	3.2340	8	deam	HC	4	plink
childD	familyX	childG	OT	0	0.8749	0.1251	0.0000	0.0625	-1	0.704053	0.8649	2.3729	4	deam	HC	4	plink
childE	familyX	childG	OT	0	0.8877	0.1123	0.0000	0.0561	-1	0.702769	0.8296	2.3167	4	deam	HC	4	plink
childF	familyX	childG	OT	0	0.9031	0.0969	0.0000	0.0485	-1	0.702072	0.9989	3.3261	4	deam	HC	4	plink
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.702029	0.0397	1.5513	1	deam	HC	4	plink
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.700452	0.0000	1.0204	1	deam	HC	4	plink
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.699381	0.0061	1.3976	1	deam	HC	4	plink
childD	familyX	childG	OT	0	0.8680	0.1320	0.0000	0.0660	-1	0.704012	0.5795	2.0615	20	deam	HC	4	plink
childE	familyX	childG	OT	0	0.8792	0.1208	0.0000	0.0604	-1	0.702664	0.8649	2.3729	20	deam	HC	4	plink
childF	familyX	childG	OT	0	0.8926	0.1074	0.0000	0.0537	-1	0.702070	0.9954	3.0612	20	deam	HC	4	plink
childD	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.697217	0.0730	1.6184	2	deam	HC	4	plink
childE	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.695612	0.2414	1.8028	2	deam	HC	4	plink
childF	familyX	childG	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.695466	0.4011	1.9265	2	deam	HC	4	plink
childD	familyX	childG	OT	0	0.8659	0.1341	0.0000	0.0670	-1	0.704040	0.5795	2.0615	10	deam	HC	4	plink
childE	familyX	childG	OT	0	0.8772	0.1228	0.0000	0.0614	-1	0.702694	0.8649	2.3729	10	deam	HC	4	plink
childF	familyX	childG	OT	0	0.8906	0.1094	0.0000	0.0547	-1	0.702110	0.9954	3.0612	10	deam	HC	4	plink
