a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childB	familyX	founder20	OT	0	1.0	0.0	0.0	0.0	-1	0.689496	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder21	OT	0	1.0	0.0	0.0	0.0	-1	0.688119	0.2907	1.8429	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder22	OT	0	1.0	0.0	0.0	0.0	-1	0.689076	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder23	OT	0	1.0	0.0	0.0	0.0	-1	0.687511	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder24	OT	0	1.0	0.0	0.0	0.0	-1	0.689499	0.0397	1.5513	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder25	OT	0	1.0	0.0	0.0	0.0	-1	0.688466	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder26	OT	0	1.0	0.0	0.0	0.0	-1	0.688289	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder27	OT	0	1.0	0.0	0.0	0.0	-1	0.687208	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder28	OT	0	1.0	0.0	0.0	0.0	-1	0.688907	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder29	OT	0	1.0	0.0	0.0	0.0	-1	0.688216	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder2	OT	0	1.0	0.0	0.0	0.0	-1	0.687852	0.7427	2.2097	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder3	OT	0	1.0	0.0	0.0	0.0	-1	0.688247	0.7887	2.2623	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder4	OT	0	1.0	0.0	0.0	0.0	-1	0.688141	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder5	OT	0	1.0	0.0	0.0	0.0	-1	0.689552	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder6	OT	0	1.0	0.0	0.0	0.0	-1	0.689432	0.52	2.0152	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder7	OT	0	1.0	0.0	0.0	0.0	-1	0.688782	0.0137	1.4568	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder8	OT	0	1.0	0.0	0.0	0.0	-1	0.688231	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childB	familyX	founder9	OT	0	1.0	0.0	0.0	0.0	-1	0.688327	0.8296	2.3167	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	childH	OT	0	0.8042	0.1697	0.0261	0.1109	-1	0.720162	0.9775	2.7547	8	no_deam	Unrelated	Unrelated	plink	0.47476904560708955
childC	familyX	childI	OT	0	1.0	0.0	0.0	0.0	-1	0.695373	0.0397	1.5513	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder0	OT	0	1.0	0.0	0.0	0.0	-1	0.687334	0.0019	1.3256	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder10	OT	0	1.0	0.0	0.0	0.0	-1	0.687244	0.9558	2.6182	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder11	OT	0	1.0	0.0	0.0	0.0	-1	0.686209	0.2414	1.8028	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder12	OT	0	1.0	0.0	0.0	0.0	-1	0.688719	0.073	1.6184	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder13	OT	0	1.0	0.0	0.0	0.0	-1	0.688929	0.4011	1.9265	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder14	OT	0	1.0	0.0	0.0	0.0	-1	0.688192	0.1971	1.7639	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder15	OT	0	1.0	0.0	0.0	0.0	-1	0.687994	0.9682	2.6852	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder16	OT	0	1.0	0.0	0.0	0.0	-1	0.688822	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder17	OT	0	1.0	0.0	0.0	0.0	-1	0.687612	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder18	OT	0	1.0	0.0	0.0	0.0	-1	0.688724	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder19	OT	0	1.0	0.0	0.0	0.0	-1	0.689142	0.0284	1.519	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder20	OT	0	1.0	0.0	0.0	0.0	-1	0.689139	0.9558	2.6182	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
childC	familyX	founder21	OT	0	1.0	0.0	0.0	0.0	-1	0.687118	0.0962	1.6533	8	no_deam	Unrelated	Unrelated	plink	0.5773502691896257
