a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childF	familyX	founder4	OT	0	0.6168	0.2617	0.1215	0.2524	-1	0.78994	0.9995	3.4773	1	no_deam	PO	1	plink	0.5598486045351904
childG	familyX	founder5	OT	0	0.6621	0.1996	0.1382	0.238	-1	0.787961	0.9722	2.717	1	no_deam	PO	1	plink	0.6050112423197881
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.8016	1.0		20	no_deam	PO	1	plink	0.0
childA	familyX	childH	OT	0	0.0	0.8874	0.1126	0.5563	-1	0.828055	1.0		20	no_deam	PO	1	plink	0.09193751501246197
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80421	1.0		20	no_deam	PO	1	plink	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.803255	1.0		20	no_deam	PO	1	plink	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.80361	1.0		20	no_deam	PO	1	plink	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.80352	1.0		20	no_deam	PO	1	plink	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80375	1.0		20	no_deam	PO	1	plink	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.802675	1.0		20	no_deam	PO	1	plink	0.0
childC	familyX	childG	OT	0	0.0	1.0	0.0	0.5	-1	0.80424	1.0		20	no_deam	PO	1	plink	0.0
childC	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.804065	1.0		20	no_deam	PO	1	plink	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.802895	1.0		20	no_deam	PO	1	plink	0.0
childD	familyX	founder3	OT	0	0.0	1.0	0.0	0.5	-1	0.802955	1.0		20	no_deam	PO	1	plink	0.0
childE	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.804775	1.0		20	no_deam	PO	1	plink	0.0
childF	familyX	founder4	OT	0	0.0	1.0	0.0	0.5	-1	0.804175	1.0		20	no_deam	PO	1	plink	0.0
childG	familyX	founder5	OT	0	0.0	1.0	0.0	0.5	-1	0.803755	1.0		20	no_deam	PO	1	plink	0.0
childA	familyX	childD	OT	0	0.4381	0.4913	0.0706	0.3162	-1	0.782085	1.0	5.0	2	no_deam	PO	1	plink	0.3897399389336432
childA	familyX	childH	OT	0	0.3966	0.4313	0.1721	0.3877	-1	0.805191	1.0	4.3784	2	no_deam	PO	1	plink	0.41244379819154353
childA	familyX	founder0	OT	0	0.4137	0.5165	0.0698	0.3281	-1	0.784631	1.0	4.6571	2	no_deam	PO	1	plink	0.3695907556563972
childA	familyX	founder1	OT	0	0.4321	0.4898	0.0781	0.323	-1	0.784112	1.0	5.0303	2	no_deam	PO	1	plink	0.3886361022859302
childB	familyX	childE	OT	0	0.4269	0.5035	0.0696	0.3213	-1	0.783135	1.0	5.6	2	no_deam	PO	1	plink	0.3801754068847695
childB	familyX	childF	OT	0	0.4177	0.5135	0.0688	0.3255	-1	0.783991	0.9998	3.6279	2	no_deam	PO	1	plink	0.37233004176402423
childB	familyX	founder0	OT	0	0.4266	0.5044	0.069	0.3212	-1	0.783058	1.0	4.1026	2	no_deam	PO	1	plink	0.3796348772175707
childB	familyX	founder1	OT	0	0.4327	0.4947	0.0726	0.32	-1	0.78305	1.0	4.0769	2	no_deam	PO	1	plink	0.386362584454896
childC	familyX	childG	OT	0	0.4292	0.4936	0.0771	0.3239	-1	0.784258	0.9979	3.2128	2	no_deam	PO	1	plink	0.38583157379008437
childC	familyX	founder1	OT	0	0.4335	0.4918	0.0747	0.3206	-1	0.783353	1.0	4.1026	2	no_deam	PO	1	plink	0.38805909343809997
childC	familyX	founder2	OT	0	0.4317	0.4934	0.0748	0.3216	-1	0.783567	1.0	5.0	2	no_deam	PO	1	plink	0.386696905426804
childD	familyX	founder3	OT	0	0.44	0.484	0.076	0.318	-1	0.782868	0.9999	3.7381	2	no_deam	PO	1	plink	0.39396784978810984
childE	familyX	founder4	OT	0	0.4362	0.4843	0.0796	0.3217	-1	0.783941	1.0	4.5278	2	no_deam	PO	1	plink	0.39266316778294
childF	familyX	founder4	OT	0	0.4329	0.4912	0.0759	0.3215	-1	0.783627	0.9999	3.8537	2	no_deam	PO	1	plink	0.38817550154537056
childG	familyX	founder5	OT	0	0.4208	0.5129	0.0663	0.3227	-1	0.783195	1.0	5.2188	2	no_deam	PO	1	plink	0.3736017219803285
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.801415	1.0		10	no_deam	PO	1	plink	0.0
childA	familyX	childH	OT	0	0.0024	0.8853	0.1124	0.555	-1	0.82777	1.0		10	no_deam	PO	1	plink	0.09272829485473497
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.80404	1.0		10	no_deam	PO	1	plink	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.80306	1.0	198.0	10	no_deam	PO	1	plink	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.80337	1.0	198.0	10	no_deam	PO	1	plink	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.803305	1.0		10	no_deam	PO	1	plink	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.803405	1.0		10	no_deam	PO	1	plink	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.802475	1.0		10	no_deam	PO	1	plink	0.0
