a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childA	familyX	childF	OT	0	0.5105	0.4895	0.0	0.2448	-1	0.745313	1.0	4.8529	8	no_deam	A	2	plink	0.008573214099741109
childB	familyX	childD	OT	0	0.5136	0.4864	0.0	0.2432	-1	0.74443	1.0	4.8529	8	no_deam	A	2	plink	0.011104353500617052
childA	familyX	childE	OT	0	0.6282	0.3542	0.0177	0.1948	-1	0.740399	0.9399	2.5536	4	no_deam	A	2	plink	0.11255542338480776
childA	familyX	childF	OT	0	0.6403	0.345	0.0147	0.1872	-1	0.738462	0.9198	2.4912	4	no_deam	A	2	plink	0.12100300271756345
childB	familyX	childD	OT	0	0.6382	0.3523	0.0095	0.1857	-1	0.73771	1.0	4.6857	4	no_deam	A	2	plink	0.11691133392447457
childA	familyX	childE	OT	0	1.0	0.0	0.0	0.0	-1	0.746311	0.0017	1.3176	1	no_deam	A	2	plink	0.408248290463863
childA	familyX	childF	OT	0	1.0	0.0	0.0	0.0	-1	0.745554	0.0017	1.3176	1	no_deam	A	2	plink	0.408248290463863
childB	familyX	childD	OT	0	1.0	0.0	0.0	0.0	-1	0.746197	0.0004	1.2386	1	no_deam	A	2	plink	0.408248290463863
childA	familyX	childE	OT	0	0.4882	0.5118	0.0	0.2559	-1	0.747635	0.9998	3.6279	20	no_deam	A	2	plink	0.009634659654947171
childA	familyX	childF	OT	0	0.4987	0.5013	0.0	0.2507	-1	0.74597	1.0	4.5278	20	no_deam	A	2	plink	0.0010614455552060403
childB	familyX	childD	OT	0	0.5012	0.4988	0.0	0.2494	-1	0.745095	1.0	5.0303	20	no_deam	A	2	plink	0.000979795897113254
childA	familyX	childE	OT	0	0.8679	0.059	0.0731	0.1026	-1	0.735286	0.6372	2.1094	2	no_deam	A	2	plink	0.3342529082396542
childA	familyX	childF	OT	0	0.8965	0.0237	0.0799	0.0917	-1	0.733387	0.52	2.0152	2	no_deam	A	2	plink	0.36076675290275845
childB	familyX	childD	OT	0	0.8886	0.0326	0.0788	0.0951	-1	0.734051	0.7427	2.2097	2	no_deam	A	2	plink	0.35387481779107516
childA	familyX	childE	OT	0	0.4915	0.5085	0.0	0.2543	-1	0.7475	0.9998	3.6279	10	no_deam	A	2	plink	0.006940220937885655
childA	familyX	childF	OT	0	0.502	0.498	0.0	0.249	-1	0.745805	1.0	4.6857	10	no_deam	A	2	plink	0.0016329931618554536
childB	familyX	childD	OT	0	0.5039	0.4961	0.0	0.2481	-1	0.745	1.0	5.0303	10	no_deam	A	2	plink	0.0031843366656181434
childA	familyX	childE	OT	0	0.486	0.514	0.0	0.257	-1	0.748139	0.9998	3.6279	8	deam	A	2	plink	0.011430952132988174
childA	familyX	childF	OT	0	0.497	0.503	0.0	0.2515	-1	0.746403	1.0	4.5278	8	deam	A	2	plink	0.00244948974278318
childB	familyX	childD	OT	0	0.4984	0.5016	0.0	0.2508	-1	0.745557	1.0	5.0303	8	deam	A	2	plink	0.0013063945294843763
childA	familyX	childE	OT	0	0.4998	0.5002	0.0	0.2501	-1	0.747192	0.9971	3.1458	4	deam	A	2	plink	0.00016329931618552722
childA	familyX	childF	OT	0	0.5094	0.4906	0.0	0.2453	-1	0.745489	1.0	4.3784	4	deam	A	2	plink	0.007675067860720618
childB	familyX	childD	OT	0	0.5123	0.4877	0.0	0.2438	-1	0.744859	0.9996	3.5227	4	deam	A	2	plink	0.010042907945411012
childA	familyX	childE	OT	0	0.9021	0.0166	0.0812	0.0896	-1	0.735952	0.5	2.0	1	deam	A	2	plink	0.3660388913763126
childA	familyX	childF	OT	0	0.9111	0.0	0.0889	0.0889	-1	0.735284	0.0079	1.4146	1	deam	A	2	plink	0.37722955875699876
childB	familyX	childD	OT	0	0.9064	0.0154	0.0782	0.0859	-1	0.734945	0.1829	1.75	1	deam	A	2	plink	0.3679281451588068
childA	familyX	childE	OT	0	0.4879	0.5121	0.0	0.2561	-1	0.748033	0.9998	3.6279	20	deam	A	2	plink	0.009879608629225486
childA	familyX	childF	OT	0	0.4987	0.5013	0.0	0.2507	-1	0.746351	1.0	4.5278	20	deam	A	2	plink	0.0010614455552060403
childB	familyX	childD	OT	0	0.5012	0.4988	0.0	0.2494	-1	0.745487	1.0	5.0303	20	deam	A	2	plink	0.000979795897113254
childA	familyX	childE	OT	0	0.6613	0.3142	0.0244	0.1815	-1	0.738265	0.9775	2.7547	2	deam	A	2	plink	0.14275233798435666
childA	familyX	childF	OT	0	0.6798	0.2924	0.0278	0.174	-1	0.736835	0.9999	3.7381	2	deam	A	2	plink	0.15937235226558796
childB	familyX	childD	OT	0	0.6762	0.3002	0.0236	0.1737	-1	0.736434	0.9198	2.4912	2	deam	A	2	plink	0.1544057857292487
childA	familyX	childE	OT	0	0.4875	0.5125	0.0	0.2562	-1	0.747986	0.9998	3.6279	10	deam	A	2	plink	0.010206207261596562
childA	familyX	childF	OT	0	0.4976	0.5024	0.0	0.2512	-1	0.746328	1.0	4.5278	10	deam	A	2	plink	0.0019595917942265306
childB	familyX	childD	OT	0	0.4997	0.5003	0.0	0.2501	-1	0.745494	1.0	5.0303	10	deam	A	2	plink	0.0002449489742783135
