a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program	RMSE
childB	childE	89650	0.183143	0.816855	2e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.408429	0.0	0.0	0.204215	0.0	0.0	2e-06	0.0	2e-06	0.408429	0.0	-135678.332223	70	-1.0	0.905172	3.794959e-01,1.513195e-01,3.393475e-05,1.472411e-01,2.033630e-01,5.069738e-02,7.131968e-07,5.135332e-02,1.649520e-02	0.00017	0.507588	0.251808	-146773.881029	50	1	deam	PO	1	ngsrelate	0.1495364498241148
childB	childF	89624	0.178607	0.821392	1e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.410697	0.0	0.0	0.205348	0.0	0.0	1e-06	0.0	1e-06	0.410697	0.0	-135673.475603	70	-1.0	0.904909	3.798818e-01,1.496573e-01,2.666698e-04,1.442498e-01,2.037744e-01,5.433309e-02,1.175710e-04,5.049499e-02,1.722434e-02	0.001886	0.51056	0.25178	-146960.918492	42	1	deam	PO	1	ngsrelate	0.1458324130797631
childB	founder0	89600	0.122602	0.877379	0.0	0.0	1.8e-05	0.0	1e-06	0.0	0.0	0.438704	1e-06	1.8e-05	0.219354	1e-06	9e-06	0.0	0.0	0.0	0.438709	-0.0	-136888.325718	358	-1.0	0.904667	3.783846e-01,1.517892e-01,5.284602e-06,1.363012e-01,2.042327e-01,6.118805e-02,8.812977e-05,4.833584e-02,1.967501e-02	0.000457	0.513525	0.253134	-147336.548962	42	1	deam	PO	1	ngsrelate	0.10011187083291703
childB	founder1	89488	0.137752	0.862247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.431124	0.0	0.0	0.215562	0.0	0.0	0.0	0.0	0.0	0.431124	0.0	-136232.569175	90	-1.0	0.903536	3.784675e-01,1.514725e-01,1.802007e-06,1.426416e-01,2.012980e-01,5.752961e-02,3.433418e-07,4.932058e-02,1.926802e-02	1.1e-05	0.502032	0.250502	-146993.739994	34	1	deam	PO	1	ngsrelate	0.1124744452649875
childC	childG	89710	0.082313	0.917683	4e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.458845	0.0	0.0	0.229423	0.0	0.0	4e-06	0.0	4e-06	0.458846	0.0	-139505.620426	86	-1.0	0.905777	3.763143e-01,1.441208e-01,8.486204e-06,1.399988e-01,2.002015e-01,5.919342e-02,2.014374e-07,5.513055e-02,2.503195e-02	4.3e-05	0.502448	0.250591	-148906.996611	46	1	deam	PO	1	ngsrelate	0.06720991611858078
childC	founder1	89582	0.12145	0.878541	7e-06	0.0	0.0	0.0	0.0	1e-06	0.0	0.439278	1e-06	1e-06	0.219639	0.0	0.0	9e-06	0.0	9e-06	0.439279	0.0	-138220.837729	82	-1.0	0.904485	3.761712e-01,1.442966e-01,2.596202e-04,1.452030e-01,2.009435e-01,5.376934e-02,4.997756e-06,5.732736e-02,2.202433e-02	0.001317	0.50128	0.249743	-148190.842319	42	1	deam	PO	1	ngsrelate	0.09916718413870587
childC	founder2	89723	0.056866	0.943127	6e-06	0.0	1e-06	0.0	0.0	0.0	0.0	0.471571	1e-06	1e-06	0.235786	0.0	1e-06	6e-06	0.0	7e-06	0.471571	-0.0	-141153.365151	94	-1.0	0.905909	3.719516e-01,1.494598e-01,2.405046e-06,1.314138e-01,1.991943e-01,6.863865e-02,4.358590e-05,5.272483e-02,2.657103e-02	0.000231	0.495159	0.248683	-149823.445365	42	1	deam	PO	1	ngsrelate	0.04643375252622455
childD	founder3	89708	0.046892	0.953103	1e-06	0.0	0.0	0.0	0.0	3e-06	0.0	0.476553	3e-06	3e-06	0.238277	0.0	0.0	4e-06	0.0	5e-06	0.476556	-0.0	-141775.383577	94	-1.0	0.905757	3.694159e-01,1.461140e-01,1.755697e-04,1.278960e-01,2.065794e-01,6.988338e-02,3.179032e-08,5.269354e-02,2.724215e-02	0.00085	0.520663	0.254683	-150418.399037	58	1	deam	PO	1	ngsrelate	0.038289198973078545
childE	founder4	89742	0.079267	0.920733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.460366	0.0	0.0	0.230183	0.0	0.0	0.0	0.0	0.0	0.460366	-0.0	-137891.905829	90	-1.0	0.9061	3.787326e-01,1.497653e-01,1.465626e-08,1.331863e-01,2.044883e-01,6.651075e-02,1.812489e-05,4.679487e-02,2.050382e-02	8.9e-05	0.516026	0.253904	-147728.222012	42	1	deam	PO	1	ngsrelate	0.06472123448039804
childF	founder4	89706	0.083487	0.916512	1e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.458257	0.0	0.0	0.229128	0.0	0.0	1e-06	0.0	1e-06	0.458257	0.0	-137910.708624	86	-1.0	0.905737	3.781071e-01,1.475963e-01,1.504286e-05,1.338847e-01,2.030725e-01,6.516721e-02,1.026402e-05,5.004306e-02,2.210380e-02	0.000125	0.511883	0.252881	-147909.907523	42	1	deam	PO	1	ngsrelate	0.06816725830387098
childG	founder5	89602	0.047883	0.952108	5e-06	0.0	0.0	0.0	0.0	5e-06	0.0	0.476059	5e-06	5e-06	0.238029	0.0	0.0	1e-05	0.0	1e-05	0.476064	-0.0	-142385.505466	82	-1.0	0.904687	3.707556e-01,1.455262e-01,1.236522e-05,1.313417e-01,2.022580e-01,6.594301e-02,5.738110e-05,5.454287e-02,2.956285e-02	0.000345	0.508923	0.252059	-150693.163643	54	1	deam	PO	1	ngsrelate	0.039099980298375275
childA	childD	99408	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.499999	1e-06	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.499999	0.0	-150622.560943	122	-150622.582151	1.0	3.831429e-01,1.490977e-01,1.261655e-11,1.390195e-01,1.962741e-01,6.071091e-02,1.307457e-11,5.027640e-02,2.147850e-02	0.0	0.491786	0.24793	-163858.124396	5	20	deam	PO	1	ngsrelate	0.0
childA	childH	99408	0.0	0.924544	0.051051	0.0	0.024405	0.0	0.0	0.0	0.0	0.531627	0.0	0.024405	0.268864	0.0	0.012202	0.051051	0.0	0.051051	0.537728	0.0	-145863.995753	130	-1.0	1.0	4.260394e-01,1.062049e-01,1.242828e-10,1.354982e-01,1.986906e-01,6.181215e-02,1.613485e-10,4.244154e-02,2.931316e-02	0.0	0.574322	0.267295	-159391.493558	5	20	deam	PO	1	ngsrelate	0.05259851879093173
