a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter	cov	deamination	kinship	degree	program
childD	founder1	98848	0.728619	0.271251	0.000130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.135755	0.000000	0.000000	0.067878	0.000000	0.000000	0.000130	0.000000	0.000130	0.135755	0.000000	-158412.313536	110	-1	0.996010	3.348779e-01,1.669035e-01,2.012642e-02,1.711298e-01,1.830443e-01,4.217863e-02,2.154141e-02,4.549029e-02,1.470790e-02	0.227638	0.391647	0.125928	-173192.472039	10	4	no_deam	GP	2	ngsrelate
childE	founder0	98864	0.751650	0.248230	0.000118	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.124234	0.000001	0.000000	0.062117	0.000000	0.000000	0.000119	0.000000	0.000119	0.124235	-0.000000	-157100.664880	86	-1	0.996171	3.355618e-01,1.742670e-01,2.349421e-02,1.673976e-01,1.832738e-01,4.666637e-02,1.727906e-02,3.839683e-02,1.366338e-02	0.222472	0.392029	0.128237	-172372.135827	10	4	no_deam	GP	2	ngsrelate
childE	founder1	98845	0.797055	0.202944	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.101473	0.000000	0.000000	0.050737	0.000000	0.000000	0.000001	0.000000	0.000001	0.101473	-0.000000	-155618.068805	102	-1	0.995980	3.369877e-01,1.751420e-01,2.134513e-02,1.708791e-01,1.823225e-01,4.392609e-02,1.975442e-02,3.792500e-02,1.171809e-02	0.225422	0.388771	0.126336	-171444.458737	10	4	no_deam	GP	2	ngsrelate
childF	founder0	98880	0.746657	0.253230	0.000110	0.000002	0.000000	0.000000	0.000001	0.000000	0.000000	0.126726	0.000001	0.000002	0.063363	0.000000	0.000000	0.000110	0.000000	0.000110	0.126727	-0.000001	-157544.097018	106	-1	0.996332	3.349376e-01,1.735250e-01,2.309175e-02,1.670739e-01,1.823579e-01,4.621792e-02,1.831024e-02,3.992989e-02,1.455581e-02	0.227037	0.389530	0.125785	-172875.402038	10	4	no_deam	GP	2	ngsrelate
childF	founder1	98861	0.794116	0.205803	0.000082	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.102983	0.000000	0.000000	0.051492	0.000000	0.000000	0.000082	0.000000	0.000082	0.102983	-0.000000	-156099.500889	90	-1	0.996141	3.359500e-01,1.745552e-01,2.111268e-02,1.711765e-01,1.812142e-01,4.318918e-02,2.046026e-02,3.964497e-02,1.269707e-02	0.229413	0.385448	0.123981	-171967.414568	10	4	no_deam	GP	2	ngsrelate
childG	founder1	98856	0.693933	0.306009	0.000057	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.153062	0.000001	0.000000	0.076531	0.000000	0.000000	0.000057	0.000000	0.000057	0.153062	0.000000	-159502.650197	70	-1	0.996090	3.359877e-01,1.650489e-01,1.916258e-02,1.695239e-01,1.817189e-01,4.211411e-02,2.211768e-02,4.857580e-02,1.575037e-02	0.227165	0.389501	0.125724	-173595.294183	10	4	no_deam	GP	2	ngsrelate
childG	founder2	98895	0.607964	0.391926	0.000109	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.196072	0.000001	0.000001	0.098036	0.000000	0.000000	0.000110	0.000000	0.000110	0.196073	-0.000000	-164474.684297	110	-1	0.996483	3.298984e-01,1.664275e-01,2.386481e-02,1.601115e-01,1.798034e-01,5.348330e-02,1.829008e-02,4.679029e-02,2.133078e-02	0.234450	0.383403	0.121428	-176465.290304	10	4	no_deam	GP	2	ngsrelate
childH	founder4	98912	0.725734	0.245493	0.000000	0.000000	0.000001	0.028767	0.000003	0.000000	0.000000	0.122750	0.028771	0.000002	0.061376	0.000002	0.000001	0.000000	0.000000	0.000001	0.137135	0.014383	-160545.447494	54	-1	0.996655	3.489204e-01,1.866869e-01,2.611408e-02,1.392792e-01,1.608817e-01,4.641231e-02,2.950229e-02,4.654532e-02,1.565784e-02	0.345697	0.339027	0.067031	-175166.063869	10	4	no_deam	GP	2	ngsrelate
childB	childI	65593	0.269769	0.495559	0.088656	0.135169	0.010847	0.000000	0.000000	0.000000	0.000000	0.344571	0.000000	0.146016	0.173641	0.000000	0.005424	0.088656	0.000000	0.088656	0.414867	-0.067584	-87356.848554	430	-1	0.667586	4.029695e-01,9.718493e-02,1.999689e-02,1.692263e-01,1.886687e-01,6.701804e-02,8.680394e-03,2.324616e-02,2.300918e-02	0.151998	0.489600	0.178899	-94667.955747	34	1	no_deam	GP	2	ngsrelate
childD	founder0	67740	0.754530	0.245332	0.000138	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.122804	0.000000	0.000000	0.061402	0.000000	0.000000	0.000138	0.000000	0.000138	0.122804	0.000000	-94514.580309	126	-1	0.689438	3.254246e-01,1.748709e-01,1.984938e-02,1.696936e-01,1.876127e-01,4.273700e-02,1.909640e-02,4.680961e-02,1.390577e-02	0.207586	0.396597	0.135569	-102095.108423	30	1	no_deam	GP	2	ngsrelate
childD	founder1	67879	0.782490	0.214949	0.002561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.110036	0.000000	0.000000	0.055018	0.000000	0.000000	0.002561	0.000000	0.002561	0.110036	0.000000	-93974.433120	134	-1	0.690852	3.285494e-01,1.736450e-01,1.828445e-02,1.716944e-01,1.891925e-01,4.043288e-02,2.193071e-02,4.292175e-02,1.334891e-02	0.212562	0.403474	0.134760	-101742.027120	30	1	no_deam	GP	2	ngsrelate
childE	founder0	67678	0.820084	0.178666	0.001249	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.090583	0.000002	0.000002	0.045292	0.000001	0.000001	0.001250	0.000001	0.001251	0.090584	-0.000000	-92998.530164	106	-1	0.688807	3.279160e-01,1.819068e-01,2.122172e-02,1.692696e-01,1.903853e-01,4.266062e-02,1.677381e-02,3.835944e-02,1.150662e-02	0.199572	0.404910	0.140712	-101064.988049	31	1	no_deam	GP	2	ngsrelate
childE	founder1	67713	0.859150	0.140757	0.000092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.070472	0.000001	0.000001	0.035236	0.000001	0.000001	0.000092	0.000001	0.000094	0.070472	-0.000000	-92292.148734	118	-1	0.689163	3.298446e-01,1.829590e-01,2.013369e-02,1.738228e-01,1.841832e-01,4.190972e-02,1.836534e-02,3.828577e-02,1.049583e-02	0.209026	0.387366	0.133092	-100701.168842	30	1	no_deam	GP	2	ngsrelate
childF	founder0	65667	0.813914	0.184679	0.001405	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.093745	0.000001	0.000001	0.046873	0.000000	0.000000	0.001406	0.000000	0.001407	0.093746	-0.000000	-90491.187487	146	-1	0.668339	3.213950e-01,1.722225e-01,2.172183e-02,1.803265e-01,1.993424e-01,4.412459e-02,1.344473e-02,3.624518e-02,1.117725e-02	0.176413	0.425868	0.155133	-98377.085076	27	1	no_deam	GP	2	ngsrelate
childF	founder1	65836	0.843786	0.155944	0.000270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.078242	0.000000	0.000000	0.039121	0.000000	0.000000	0.000270	0.000000	0.000270	0.078242	-0.000000	-90118.448102	158	-1	0.670059	3.236327e-01,1.729509e-01,1.877152e-02,1.837029e-01,1.963577e-01,4.348112e-02,1.555058e-02,3.505838e-02,1.049422e-02	0.174794	0.418214	0.154260	-98187.506665	26	1	no_deam	GP	2	ngsrelate
childG	founder1	67814	0.759348	0.240611	0.000036	0.000001	0.000001	0.000001	0.000000	0.000000	0.000001	0.120344	0.000002	0.000004	0.060173	0.000001	0.000002	0.000036	0.000001	0.000037	0.120345	-0.000000	-94480.670138	118	-1	0.690191	3.280656e-01,1.737037e-01,1.710762e-02,1.724033e-01,1.832569e-01,4.259637e-02,2.244395e-02,4.697560e-02,1.344699e-02	0.215826	0.385617	0.129836	-102060.521969	30	1	no_deam	GP	2	ngsrelate
childG	founder2	68444	0.664440	0.335540	0.000017	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.167790	0.000003	0.000003	0.083896	0.000003	0.000003	0.000017	0.000003	0.000020	0.167790	0.000000	-97910.398761	106	-1	0.696603	3.234568e-01,1.701864e-01,2.421711e-02,1.651221e-01,1.800905e-01,5.471663e-02,1.722395e-02,4.602955e-02,1.895690e-02	0.230112	0.377156	0.122085	-104497.150609	30	1	no_deam	GP	2	ngsrelate
childH	founder4	67914	0.775159	0.208413	0.000035	0.000000	0.000000	0.016392	0.000000	0.000000	0.000000	0.104242	0.016393	0.000000	0.052121	0.000000	0.000000	0.000035	0.000000	0.000036	0.112439	0.008196	-94307.808692	82	-1	0.691209	3.414643e-01,1.931907e-01,2.456172e-02,1.441248e-01,1.631423e-01,4.636661e-02,2.808656e-02,4.398521e-02,1.507772e-02	0.322714	0.339657	0.076723	-102144.695967	30	1	no_deam	GP	2	ngsrelate
childB	childI	99408	0.185075	0.558523	0.080969	0.154718	0.020716	0.000000	0.000000	0.000000	0.000000	0.375767	0.000000	0.175434	0.190473	0.000000	0.010358	0.080969	0.000000	0.080969	0.458305	-0.077359	-155777.194631	126	-1	1.000000	4.151374e-01,9.740786e-02,2.307689e-02,1.608222e-01,1.686270e-01,6.570890e-02,1.194066e-02,2.970585e-02,2.757317e-02	0.207663	0.433865	0.142701	-169797.183821	5	20	no_deam	GP	2	ngsrelate
childD	founder0	99408	0.695085	0.304802	0.000111	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.152513	0.000001	0.000001	0.076256	0.000000	0.000000	0.000112	0.000000	0.000113	0.152514	-0.000000	-162557.092933	78	-1	1.000000	3.322364e-01,1.684068e-01,2.176009e-02,1.685580e-01,1.821074e-01,4.492606e-02,1.977693e-02,4.536857e-02,1.685979e-02	0.228091	0.388457	0.125125	-177521.638589	5	20	no_deam	GP	2	ngsrelate
childD	founder1	99408	0.720133	0.279772	0.000095	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.139981	0.000000	0.000000	0.069991	0.000000	0.000000	0.000096	0.000000	0.000096	0.139981	-0.000000	-161053.359503	86	-1	1.000000	3.356166e-01,1.666778e-01,2.010891e-02,1.703888e-01,1.827413e-01,4.246134e-02,2.174867e-02,4.558982e-02,1.466681e-02	0.229054	0.391330	0.125254	-176535.012802	5	20	no_deam	GP	2	ngsrelate
childE	founder0	99408	0.739627	0.260330	0.000043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.130208	0.000000	0.000000	0.065104	0.000000	0.000000	0.000043	0.000000	0.000043	0.130208	-0.000000	-159572.421107	94	-1	1.000000	3.357371e-01,1.738280e-01,2.337983e-02,1.677132e-01,1.834965e-01,4.633429e-02,1.712103e-02,3.855826e-02,1.383186e-02	0.220717	0.392981	0.129180	-175522.765982	5	20	no_deam	GP	2	ngsrelate
childE	founder1	99408	0.782939	0.217044	0.000017	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.108539	0.000000	0.000000	0.054270	0.000000	0.000000	0.000017	0.000000	0.000017	0.108539	0.000000	-158094.395438	86	-1	1.000000	3.375984e-01,1.740102e-01,2.133627e-02,1.707107e-01,1.825309e-01,4.430223e-02,1.944506e-02,3.846757e-02,1.159865e-02	0.223421	0.389797	0.127396	-174651.832388	5	20	no_deam	GP	2	ngsrelate
childF	founder0	99408	0.735379	0.264605	0.000013	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.132317	0.000002	0.000001	0.066159	0.000001	0.000000	0.000014	0.000000	0.000014	0.132318	-0.000000	-160056.251166	70	-1	1.000000	3.353647e-01,1.736671e-01,2.260521e-02,1.669082e-01,1.816244e-01,4.663607e-02,1.829839e-02,4.059134e-02,1.430467e-02	0.225210	0.387501	0.126183	-176122.093475	5	20	no_deam	GP	2	ngsrelate
childF	founder1	99408	0.778858	0.221138	0.000004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.110573	0.000000	0.000000	0.055286	0.000000	0.000000	0.000004	0.000000	0.000004	0.110573	0.000000	-158587.141518	78	-1	1.000000	3.366428e-01,1.741681e-01,2.082595e-02,1.709720e-01,1.805903e-01,4.360649e-02,2.013929e-02,4.024932e-02,1.280579e-02	0.226841	0.384266	0.124858	-175253.672280	5	20	no_deam	GP	2	ngsrelate
childG	founder1	99408	0.687296	0.312670	0.000024	0.000000	0.000000	0.000000	0.000009	0.000000	0.000001	0.156366	0.000010	0.000001	0.078184	0.000005	0.000001	0.000024	0.000001	0.000024	0.156368	0.000000	-162208.393479	166	-1	1.000000	3.358078e-01,1.655198e-01,1.894209e-02,1.698661e-01,1.810996e-01,4.269587e-02,2.208029e-02,4.838667e-02,1.560182e-02	0.226518	0.387386	0.125598	-176961.307777	5	20	no_deam	GP	2	ngsrelate
childG	founder2	99408	0.602971	0.396978	0.000050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.198539	0.000000	0.000000	0.099270	0.000000	0.000000	0.000050	0.000000	0.000050	0.198539	-0.000000	-167337.926032	110	-1	1.000000	3.297117e-01,1.668475e-01,2.371029e-02,1.602501e-01,1.802476e-01,5.316479e-02,1.820630e-02,4.677689e-02,2.108475e-02	0.232550	0.384359	0.122426	-179842.672875	5	20	no_deam	GP	2	ngsrelate
childH	founder4	99408	0.721312	0.253786	0.000004	0.000000	0.000000	0.024886	0.000010	0.000002	0.000000	0.126905	0.024897	0.000002	0.063454	0.000005	0.000000	0.000006	0.000000	0.000006	0.139352	0.012443	-163484.541220	46	-1	1.000000	3.489658e-01,1.862928e-01,2.613490e-02,1.396468e-01,1.607718e-01,4.687753e-02,2.866962e-02,4.692775e-02,1.571303e-02	0.340884	0.338788	0.069019	-178791.146993	5	20	no_deam	GP	2	ngsrelate
childB	childI	91960	0.197101	0.552753	0.075061	0.160474	0.014611	0.000000	0.000000	0.000000	0.000000	0.362396	0.000000	0.175085	0.183024	0.000000	0.007305	0.075061	0.000000	0.075061	0.446286	-0.080237	-134636.239849	211	-1	0.929819	4.120735e-01,9.865454e-02,2.327813e-02,1.620465e-01,1.698856e-01,6.712982e-02,1.110385e-02,2.864785e-02,2.718022e-02	0.202383	0.434645	0.145238	-146146.187584	15	2	no_deam	GP	2	ngsrelate
childD	founder0	92083	0.739577	0.250403	0.010019	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.135221	0.000001	0.000001	0.067610	0.000000	0.000000	0.010020	0.000000	0.010020	0.135222	0.000000	-140908.503792	102	-1	0.931062	3.309091e-01,1.680820e-01,2.298873e-02,1.693709e-01,1.842260e-01,4.271033e-02,1.981077e-02,4.506457e-02,1.683758e-02	0.232321	0.393622	0.124265	-152820.995195	15	2	no_deam	GP	2	ngsrelate
childD	founder1	91936	0.745156	0.254830	0.000013	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127428	0.000000	0.000000	0.063714	0.000000	0.000000	0.000013	0.000000	0.000013	0.127429	0.000000	-139296.872677	74	-1	0.929576	3.347944e-01,1.677495e-01,1.914660e-02,1.721370e-01,1.806169e-01,4.345598e-02,2.222959e-02,4.582044e-02,1.404960e-02	0.229083	0.383851	0.123817	-151650.752891	18	2	no_deam	GP	2	ngsrelate
childE	founder0	92003	0.772592	0.227343	0.000063	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.113735	0.000002	0.000002	0.056867	0.000000	0.000000	0.000064	0.000000	0.000064	0.113736	0.000000	-138399.499636	142	-1	0.930253	3.337193e-01,1.743129e-01,2.336484e-02,1.688518e-01,1.848629e-01,4.522231e-02,1.731695e-02,3.873020e-02,1.361879e-02	0.220065	0.395176	0.129887	-151172.198961	18	2	no_deam	GP	2	ngsrelate
childE	founder1	91879	0.818186	0.181364	0.000447	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.091131	0.000000	0.000002	0.045566	0.000000	0.000001	0.000447	0.000000	0.000447	0.091132	-0.000000	-136835.105084	122	-1	0.929000	3.368708e-01,1.738808e-01,2.121636e-02,1.724641e-01,1.824892e-01,4.335638e-02,2.018272e-02,3.775328e-02,1.178627e-02	0.226858	0.389224	0.125804	-150122.882804	18	2	no_deam	GP	2	ngsrelate
