a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childB	childC	0.542618	0.457352	2.5e-05	10	deam	HS	2	ngsrelateWithRealFreq	0.0348097038817243
childA	childC	0.534911	0.465069	1.6e-05	8	no_deam	HS	2	ngsrelateWithRealFreq	0.0285128797680393
childB	childC	0.543344	0.45665	3e-06	8	no_deam	HS	2	ngsrelateWithRealFreq	0.0353926774206191
childA	childC	0.534078	0.465774	0.000147	4	no_deam	HS	2	ngsrelateWithRealFreq	0.0278851858460127
childB	childC	0.54509	0.454853	5e-05	4	no_deam	HS	2	ngsrelateWithRealFreq	0.0368391196465568
childA	childC	0.572362	0.418215	0.009422	1	no_deam	HS	2	ngsrelateWithRealFreq	0.0632819599174994
childB	childC	0.5765	0.423471	1.9e-05	1	no_deam	HS	2	ngsrelateWithRealFreq	0.0624738297262675
childA	childC	0.533724	0.466213	6.3e-05	20	no_deam	HS	2	ngsrelateWithRealFreq	0.0275612863391146
childB	childC	0.542915	0.457058	2.1e-05	20	no_deam	HS	2	ngsrelateWithRealFreq	0.0350509773044918
childA	childC	0.547138	0.450097	0.002742	2	no_deam	HS	2	ngsrelateWithRealFreq	0.039664505614802
childB	childC	0.554101	0.445897	0.0	2	no_deam	HS	2	ngsrelateWithRealFreq	0.0441740980288977
childA	childC	0.533911	0.466054	2.6e-05	10	no_deam	HS	2	ngsrelateWithRealFreq	0.027702511998012
childB	childC	0.543121	0.456833	2.5e-05	10	no_deam	HS	2	ngsrelateWithRealFreq	0.0352269364502033
childA	childC	0.534688	0.465274	3e-05	8	deam	HS	2	ngsrelateWithRealFreq	0.0283381563738128
childB	childC	0.543188	0.45672	6.6e-05	8	deam	HS	2	ngsrelateWithRealFreq	0.0353004537270179
childA	childC	0.532184	0.467761	5.5e-05	4	deam	HS	2	ngsrelateWithRealFreq	0.0263006083706568
childB	childC	0.545127	0.454858	1.3e-05	4	deam	HS	2	ngsrelateWithRealFreq	0.0368521662049872
childA	childC	0.549309	0.450648	3.7e-05	1	deam	HS	2	ngsrelateWithRealFreq	0.040278194075703
childB	childC	0.559419	0.440571	5e-06	1	deam	HS	2	ngsrelateWithRealFreq	0.0485194930826776
childA	childC	0.533785	0.466195	1.6e-05	20	deam	HS	2	ngsrelateWithRealFreq	0.0275935047067239
childB	childC	0.543054	0.456925	1.1e-05	20	deam	HS	2	ngsrelateWithRealFreq	0.0351620186280594
childA	childC	0.543443	0.456495	5.8e-05	2	deam	HS	2	ngsrelateWithRealFreq	0.0354963971786809
childB	childC	0.550697	0.44928	2.3e-05	2	deam	HS	2	ngsrelateWithRealFreq	0.041403320068162
childA	childC	0.534426	0.465497	7.7e-05	10	deam	HS	2	ngsrelateWithRealFreq	0.0281401990871895
childB	childC	0.543079	0.456887	3.3e-05	10	deam	HS	2	ngsrelateWithRealFreq	0.0351877445474036
