a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childA	childE	0.6613	0.3142	0.0244	2	deam	A	2	plink	0.1427523379843566
childA	childF	0.6798	0.2924	0.0278	2	deam	A	2	plink	0.1593723522655879
childB	childD	0.6762	0.3002	0.0236	2	deam	A	2	plink	0.1544057857292487
childA	childE	0.4875	0.5125	0.0	10	deam	A	2	plink	0.0102062072615965
childA	childF	0.4976	0.5024	0.0	10	deam	A	2	plink	0.0019595917942265
childB	childD	0.4997	0.5003	0.0	10	deam	A	2	plink	0.0002449489742783
childA	childE	0.814	0.184	0.002	8	no_deam	A	2	lcmlkin	0.2572003110418026
childA	childF	0.822	0.173	0.005	8	no_deam	A	2	lcmlkin	0.2649767285379353
childB	childD	0.78	0.219	0.002	8	no_deam	A	2	lcmlkin	0.2290305656457233
childA	childE	0.818	0.176	0.006	4	no_deam	A	2	lcmlkin	0.2621297388698962
childA	childF	0.815	0.184	0.001	4	no_deam	A	2	lcmlkin	0.2576056417601653
childB	childD	0.791	0.206	0.003	4	no_deam	A	2	lcmlkin	0.2388346708499417
childA	childE	0.872	0.124	0.004	1	no_deam	A	2	lcmlkin	0.3053828198616724
childA	childF	0.879	0.104	0.016	1	no_deam	A	2	lcmlkin	0.316603326998733
childB	childD	0.867	0.105	0.028	1	no_deam	A	2	lcmlkin	0.3117146130677867
childA	childE	0.81	0.186	0.004	20	no_deam	A	2	lcmlkin	0.2547626346228975
childA	childF	0.819	0.18	0.002	20	no_deam	A	2	lcmlkin	0.2608735325785274
childB	childD	0.785	0.21	0.006	20	no_deam	A	2	lcmlkin	0.2347771993472393
childA	childE	0.843	0.145	0.012	2	no_deam	A	2	lcmlkin	0.2850836134657105
childA	childF	0.839	0.16	0.002	2	no_deam	A	2	lcmlkin	0.2772032948337134
childB	childD	0.808	0.185	0.006	2	no_deam	A	2	lcmlkin	0.2543783271690679
childA	childE	0.81	0.187	0.003	10	no_deam	A	2	lcmlkin	0.2543475312769256
childA	childF	0.819	0.179	0.002	10	no_deam	A	2	lcmlkin	0.2612827331965636
childB	childD	0.778	0.22	0.002	10	no_deam	A	2	lcmlkin	0.227806935803105
