a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childE	childF	0.359	0.422	0.219	10	deam	FS	1	lcmlkin	0.0794271154371519
childA	childB	0.379	0.398	0.223	8	no_deam	FS	1	lcmlkin	0.0962185013393993
childE	childF	0.358	0.423	0.219	8	no_deam	FS	1	lcmlkin	0.0786426517016476
childA	childB	0.389	0.392	0.219	4	no_deam	FS	1	lcmlkin	0.103192376979439
childE	childF	0.375	0.407	0.218	4	no_deam	FS	1	lcmlkin	0.0918295522512587
childA	childB	0.517	0.274	0.209	1	no_deam	FS	1	lcmlkin	0.2033437155819344
childE	childF	0.421	0.398	0.181	1	no_deam	FS	1	lcmlkin	0.1216634702776474
childA	childB	0.376	0.402	0.222	20	no_deam	FS	1	lcmlkin	0.0935663757268959
childE	childF	0.359	0.422	0.22	20	no_deam	FS	1	lcmlkin	0.0792990121838433
childA	childB	0.429	0.348	0.223	2	no_deam	FS	1	lcmlkin	0.1364722193952552
childE	childF	0.392	0.399	0.208	2	no_deam	FS	1	lcmlkin	0.1034875193763318
childA	childB	0.38	0.396	0.223	10	no_deam	FS	1	lcmlkin	0.0973738500146043
childE	childF	0.359	0.422	0.22	10	no_deam	FS	1	lcmlkin	0.0792990121838433
childA	childB	0.377	0.402	0.221	8	deam	FS	1	lcmlkin	0.0941169485268195
childE	childF	0.36	0.419	0.22	8	deam	FS	1	lcmlkin	0.080748580998884
childA	childB	0.381	0.402	0.218	4	deam	FS	1	lcmlkin	0.0962444803612134
childE	childF	0.363	0.42	0.217	4	deam	FS	1	lcmlkin	0.082174610839764
childA	childB	0.43	0.368	0.202	1	deam	FS	1	lcmlkin	0.1318180564262726
childE	childF	0.403	0.396	0.201	1	deam	FS	1	lcmlkin	0.1104928353635052
childA	childB	0.38	0.396	0.224	20	deam	FS	1	lcmlkin	0.0972830920561224
childE	childF	0.355	0.426	0.218	20	deam	FS	1	lcmlkin	0.0764307965853206
childA	childB	0.405	0.377	0.218	2	deam	FS	1	lcmlkin	0.115726689517443
childE	childF	0.38	0.407	0.213	2	deam	FS	1	lcmlkin	0.0947241609446432
childA	childB	0.38	0.397	0.223	10	deam	FS	1	lcmlkin	0.0970188985026457
childE	childF	0.357	0.425	0.219	10	deam	FS	1	lcmlkin	0.0775349383611457
childA	childB	0.266261	0.489355	0.244378	8	no_deam	FS	1	ngsrelateWithRealFreq	0.0116810819989702
childE	childF	0.256153	0.502474	0.241354	8	no_deam	FS	1	ngsrelateWithRealFreq	0.0062910889624399
childA	childB	0.265536	0.490618	0.243816	4	no_deam	FS	1	ngsrelateWithRealFreq	0.0110699454379865
childE	childF	0.259145	0.497425	0.243408	4	no_deam	FS	1	ngsrelateWithRealFreq	0.0066762293250007
childA	childB	0.280111	0.465171	0.254713	1	no_deam	FS	1	ngsrelateWithRealFreq	0.0267204287078881
childE	childF	0.263667	0.489133	0.247176	1	no_deam	FS	1	ngsrelateWithRealFreq	0.0102119791421643
childA	childB	0.266652	0.488389	0.244944	20	no_deam	FS	1	ngsrelateWithRealFreq	0.0120784596286115
childE	childF	0.256635	0.501	0.242341	20	no_deam	FS	1	ngsrelateWithRealFreq	0.0058788747789578
childA	childB	0.272443	0.480497	0.246977	2	no_deam	FS	1	ngsrelateWithRealFreq	0.0172548909684568
childE	childF	0.267009	0.491152	0.241813	2	no_deam	FS	1	ngsrelateWithRealFreq	0.0120363360150282
childA	childB	0.266975	0.487896	0.245114	10	no_deam	FS	1	ngsrelateWithRealFreq	0.0123629882714495
childE	childF	0.256647	0.501268	0.242051	10	no_deam	FS	1	ngsrelateWithRealFreq	0.0060270787285384
childA	childB	0.266539	0.48974	0.243718	8	deam	FS	1	ngsrelateWithRealFreq	0.0118077607953413
childE	childF	0.256889	0.501348	0.241753	8	deam	FS	1	ngsrelateWithRealFreq	0.0062526909940174
childA	childB	0.267477	0.491918	0.240596	4	deam	FS	1	ngsrelateWithRealFreq	0.0123720042703947
childE	childF	0.259036	0.502889	0.238074	4	deam	FS	1	ngsrelateWithRealFreq	0.0087982023353258
childA	childB	0.281226	0.483754	0.234986	1	deam	FS	1	ngsrelateWithRealFreq	0.0220938587847392
childE	childF	0.275717	0.490693	0.233574	1	deam	FS	1	ngsrelateWithRealFreq	0.0184191731084758
childA	childB	0.266607	0.488355	0.245018	20	deam	FS	1	ngsrelateWithRealFreq	0.0120584520565452
childE	childF	0.256769	0.500979	0.242249	20	deam	FS	1	ngsrelateWithRealFreq	0.0059681321198512
childA	childB	0.270574	0.491141	0.238282	2	deam	FS	1	ngsrelateWithRealFreq	0.0145954659740619
childE	childF	0.258693	0.505076	0.236231	2	deam	FS	1	ngsrelateWithRealFreq	0.0098474935220423
childA	childB	0.266421	0.489078	0.244482	10	deam	FS	1	ngsrelateWithRealFreq	0.0118235309023996
childE	childF	0.256619	0.501562	0.241818	10	deam	FS	1	ngsrelateWithRealFreq	0.0061426413699645
childA	childB	0.26599	0.489726	0.24428	8	no_deam	FS	1	ngsrelateWithRealFreq	0.0114594004497035
childE	childF	0.255992	0.502252	0.241752	8	no_deam	FS	1	ngsrelateWithRealFreq	0.0060278540128307
childA	childB	0.266945	0.490209	0.242845	4	no_deam	FS	1	ngsrelateWithRealFreq	0.0120303883423049
childE	childF	0.262121	0.49559	0.242281	4	no_deam	FS	1	ngsrelateWithRealFreq	0.0086785118155898
childA	childB	0.338276	0.416224	0.245496	1	no_deam	FS	1	ngsrelateWithRealFreq	0.0703120576857199
childE	childF	0.268235	0.503776	0.227971	1	no_deam	FS	1	ngsrelateWithRealFreq	0.0166538308105572
childA	childB	0.266747	0.488228	0.245005	20	no_deam	FS	1	ngsrelateWithRealFreq	0.0121654157073785
childE	childF	0.256726	0.500871	0.242398	20	no_deam	FS	1	ngsrelateWithRealFreq	0.0058818398765465
childA	childB	0.281509	0.470347	0.248137	2	no_deam	FS	1	ngsrelateWithRealFreq	0.0250039214191161
childE	childF	0.26352	0.496258	0.240139	2	no_deam	FS	1	ngsrelateWithRealFreq	0.0099000384679387
childA	childB	0.26699	0.488026	0.244983	10	no_deam	FS	1	ngsrelateWithRealFreq	0.0123451348716812
childE	childF	0.256881	0.50071	0.242402	10	no_deam	FS	1	ngsrelateWithRealFreq	0.0059324493255315
childA	childB	0.265949	0.490495	0.243524	8	deam	FS	1	ngsrelateWithRealFreq	0.0113527412548687
childE	childF	0.257431	0.500528	0.242037	8	deam	FS	1	ngsrelateWithRealFreq	0.0062957105503138
childA	childB	0.267823	0.491991	0.240184	4	deam	FS	1	ngsrelateWithRealFreq	0.0126248071404411
childE	childF	0.257477	0.503295	0.239224	4	deam	FS	1	ngsrelateWithRealFreq	0.0078077894865747
childA	childB	0.274352	0.499407	0.226236	1	deam	FS	1	ngsrelateWithRealFreq	0.0196477246265311
childE	childF	0.269783	0.498177	0.231973	1	deam	FS	1	ngsrelateWithRealFreq	0.0154883089995863
childA	childB	0.266835	0.488142	0.245002	20	deam	FS	1	ngsrelateWithRealFreq	0.0122339608331343
childE	childF	0.256708	0.500966	0.242298	20	deam	FS	1	ngsrelateWithRealFreq	0.0059231529891885
childA	childB	0.276203	0.484395	0.239399	2	deam	FS	1	ngsrelateWithRealFreq	0.0186413021272656
childE	childF	0.265005	0.497517	0.237476	2	deam	FS	1	ngsrelateWithRealFreq	0.0113749123073542
childA	childB	0.266465	0.488959	0.244525	10	deam	FS	1	ngsrelateWithRealFreq	0.0118739986384817
childE	childF	0.257198	0.500472	0.242293	10	deam	FS	1	ngsrelateWithRealFreq	0.0060945833054169
